capability,current_bound_evidence,status,reusable,missing,integration_point,evidential_ceiling
"SI c definition","BIPM exact 299792458 m/s","BOUND","yes","apparatus realization","unit register","definition"
"Julian year","IAU 365.25 d and 86400 s/d","BOUND","yes","none for convention","unit register","definition"
"Astronomical unit","IAU exact 149597870700 m","BOUND","yes","none for convention","unit register","definition"
"Light-year conversion","c multiplied by Julian year","DERIVED","yes","none for arithmetic","unit register","exact derived length"
"AU/c conversion","exact AU divided by exact c","DERIVED","yes","actual range geometry","conversion ledger","exact nominal conversion"
"Physical emission event","no bound repository artifact","NOT_DEMONSTRATED","no","source ID and timestamp","regime A","none"
"Independent distance","prospective two-position survey only","SPECIFIED_NOT_EXECUTED","yes as design","measurement and calibration","regime B","protocol"
"Propagation medium","air model identified","SPECIFIED_NOT_EXECUTED","yes as design","wavelength and ambient measurements","regime B","protocol"
"Reception timestamp","single-clock detector chain specified","SPECIFIED_NOT_EXECUTED","yes as design","hardware calibration and raw waveforms","regime C","protocol"
"Electronics latency cancellation","differential two-length equation","FORMALIZED","yes","stability verification","conversion","model"
"Uncertainty with covariance","Jacobian covariance model","FORMALIZED","yes","measured covariance inputs","uncertainty ledger","model"
"Calibration chain","prospective controls listed","SPECIFIED_NOT_EXECUTED","yes as checklist","certificates and results","pre-execution gate","protocol"
"Drift control","ABBA blocks and reference injection","SPECIFIED_NOT_EXECUTED","yes as design","data","acquisition gate","protocol"
"Cat in the Basket visual","exact Desktop PNG path","REVIEWED_NONAUTHORITATIVE","conceptual vocabulary only","units events calibration data","frontispiece only","metaphor"
"Repository LQE/Shadow/ORION/OLS candidates","enumeration blocked by symlink sandbox","UNRESOLVED_NOT_ABSENT","no","exact paths and content review","future additive ledger","none"
"Independent c estimate","no executed measurement chain","NOT_DEMONSTRATED","no","authorized execution and data","future gated workstream","none"
"New physics","none","NO","no","independent replicated evidence","not authorized","none"

