package_path,files,bytes,local_outcome,root_manifest_status,manifest_entries,manifest_errors,mission_control_reference,desk10_route
CAT_IN_THE_BASKET_PRESERVATION_AND_FORMALIZATION_REVIEW_2026-09-09,17,3186614,COMPLETE_BOUNDED_ADDITIVE_REVIEW,MISSING,0,,ABSENT,POST_49_CURRENTNESS_RETURN_REQUIRED
DESK10_1729_MOBIUS_PARTITION_CARRIER_BRIDGE_AUDIT_2026-09-10,17,99823,COMPLETE_EXACT_ARITHMETIC_PHYSICAL_MECHANISM_NOT_TESTED,FAIL,16,MISMATCH:./10_CLAIM_AND_NONCLAIM_LEDGER.csv,ABSENT,POST_49_CURRENTNESS_RETURN_REQUIRED
DESK10_FIXED_WIDTH_REVERSAL_SHADOW_REGISTER_COMMUTATION_AUDIT_2026-09-10,13,1264237,COMPLETE_BOUNDED_MATHEMATICAL_AUDIT,PASS,12,,ABSENT,POST_49_CURRENTNESS_RETURN_REQUIRED
DESK10_LQE01_DATELINE_AND_REPOSITORY_EVIDENCE_RECOVERY_AUDIT_2026-09-09,10,255462,COMPLETE_READ_ONLY_EVIDENCE_RECOVERY,MISSING,0,,ABSENT,POST_49_CURRENTNESS_RETURN_REQUIRED
DESK10_OPERATOR_LOOP_CLOSURE_MACHINE_MIDDLE_LAGRANGE_GATE_2026-09-10,12,16015,MECHANICAL_PLANT_REQUIRED_FIRST,PASS,11,,ABSENT,POST_49_CURRENTNESS_RETURN_REQUIRED
DESK10_SHADOW_REGISTER_REVERSE_COMPLEMENT_CONTROL_STATE_AUDIT_2026-09-10,13,24571,COMPLETE_CONTROL_TYPES_DISTINCT,PASS,12,,ABSENT,POST_49_CURRENTNESS_RETURN_REQUIRED
GHOSTGRID_ALPHABET_ROTATION_RECONSTRUCTION_AUDIT_2026-09-10,26,2579609,COMPLETE_NUMERICAL_RESULT_VISUAL_BINDING_UNRESOLVED,PASS,25,,ABSENT,POST_49_CURRENTNESS_RETURN_REQUIRED
MISSION_CONTROL_GHOSTGRID_SHARED_OBSERVER_PROJECTION_GATE_2026-09-10,12,16173,SHARED_OBSERVER_PROJECTION_LAYER_CONFIRMED_ARCHITECTURE_ONLY,PASS,11,,ABSENT,POST_49_CURRENTNESS_RETURN_REQUIRED
NEXAH_CURTAIN_CROSSING_STRIP_RESIDUAL_RETURN_REVIEW_2026-09-09,15,27326,INSUFFICIENT_PHYSICAL_SOURCE_BINDING_STOP,PASS,14,,ABSENT,POST_49_CURRENTNESS_RETURN_REQUIRED
NEXAH_LIGHT_TIME_AU_YEAR_REGISTER_REVIEW_2026-09-09,29,64182,NEW_BOUNDED_TEST_SPEC_JUSTIFIED_NOT_AUTHORIZED,PASS,13,,ABSENT,POST_49_CURRENTNESS_RETURN_REQUIRED
NEXAH_NEUROMECHANICAL_KASKADENZ_EXTENSION_REVIEW_2026-09-09,16,155009,COMPLETE_EXP20_INSUFFICIENT_SOURCE_BINDING,MISSING,0,,ABSENT,POST_49_CURRENTNESS_RETURN_REQUIRED
NEXAH_PHI_FOURIER_ENTROPY_SOURCE_FORENSICS_2026-09-09,17,52114,INSUFFICIENT_SOURCE_BINDING_STOP,PASS,16,,ABSENT,POST_49_CURRENTNESS_RETURN_REQUIRED
NEXAH_SELF_NONSELF_DUAL_AXIS_BOUNDARY_REVIEW_2026-09-09,13,29136,COMPLETE_BOUNDED_INTEGRATION_CANDIDATE_ONLY,PASS,12,,ABSENT,POST_49_CURRENTNESS_RETURN_REQUIRED
NEXAH_TIME_DEPENDENT_COUPLING_FORMALIZATION_REVIEW_2026-09-09,11,27856,COMPLETE_EXP20_BINDING_STOP,MISSING,0,,ABSENT,POST_49_CURRENTNESS_RETURN_REQUIRED
RRTM_D2_JULIA_RETURN_ESCAPE_CONJUGATE_MIRROR_AUDIT_2026-09-09,18,52307,COMPLETE_JULIA_C_GENERATOR_UNRESOLVED,PASS,17,,ABSENT,POST_49_CURRENTNESS_RETURN_REQUIRED
SCIENCE_LAB/CASE_STUDIES/DESK10_CRT_CIRCLE_DUAL_STEP_ORBIT_AUDIT_2026-09-09,18,119101,COMPLETE_NEW_EXACT_FORMALIZATION_NO_COMMON_ORIGIN,PASS,17,,ABSENT,POST_49_CURRENTNESS_RETURN_REQUIRED
SCIENCE_LAB/CASE_STUDIES/DESK10_CRT_SHADOW_OTHER_SIDE_INVOLUTION_AUDIT_2026-09-09,13,2574708,COMPLETE_MATHEMATICAL_EXAMPLE_VISUAL_UNLOCATED,PASS,12,,ABSENT,POST_49_CURRENTNESS_RETURN_REQUIRED
SCIENCE_LAB/CASE_STUDIES/LQE01_LIGHT_OCCLUDER_RECEIVER_GEOMETRY_2026-09-09,45,14399363,CLOSED_NO_MANDATORY_FOLLOW_ON,PASS,44,,ABSENT,POST_49_CURRENTNESS_RETURN_REQUIRED
SCIENCE_LAB/CASE_STUDIES/LQE01_POST_CLOSEOUT_VISUAL_SUPPLEMENT_AND_GRIP_GAP_ANNOTATION_2026-09-09,18,21071695,COMPLETE_CLOSED_STATE_PRESERVED,PASS,17,,ABSENT,POST_49_CURRENTNESS_RETURN_REQUIRED
