family_id,family,primary_shelf,secondary_shelves,human_question,representative_material,mission_control_program_id,current_state
AF-01,Translation fidelity and representation agreement,Computer and information science,Statistics and inverse problems,What survives when the same material is translated into another representation?,Translation Fidelity Studies and recovery tests,RP-01,QUALIFIED_RESULT
AF-02,Transition recovery and identifiability,Computer and information science,Applied mathematics,Can a source or transition be recovered from a limited record?,EXP-T01 and source-identification studies,RP-02,PARTIAL_AND_OPEN
AF-03,Relational language and semantic contracts,Computer science and formal methods,Provenance and philosophy of science,How can relations be described without collapsing unlike things into identity?,OLS ILAU Open Shell profile and OVS crosswalk,RP-03,RELEASED_PLUS_EXPERIMENTAL
AF-04,Records seams and return,Data engineering and provenance,Systems engineering,Can Primary and Replay be compared while loss uncertainty and seams remain visible?,NRRC CRIC Representation Ledger and residual contracts,RP-04,BOUNDED_IMPLEMENTATIONS
AF-05,Observer geometry apertures and cuts,Applied mathematics and visualization,Scientific method and HCI,How does a selected frame change what an observer can see and compare?,Q-degree OVS Russell layers two-cut return moving-frame studies and E8 DEMOS,RP-05,CONCEPTUAL_PLUS_BOUNDED
AF-06,Visibility cartography and multiband views,Visual analytics and cartography,Computer vision,Do additional views reveal useful structure that a baseline misses?,NBV01 ILAU field lab and multiband visibility maps,RP-06,NEGATIVE_AND_BOUNDED
AF-07,Prime CRT and exact discrete address,Mathematics,Computer science fixtures,Can exact addresses survive declared changes of frame or format?,Prime Genesis CRT fingerprints QRTp Euler bridges and 1729,RP-07,EXACT_BOUNDED_FIXTURES
AF-08,Nonlinear dynamics and trajectory return,Dynamical systems,Statistics and physics modelling,Can a hidden transition or return be reconstructed from a bounded trajectory record?,Lorenz Rossler Kuramoto and escape-return studies,RP-08,MIXED_AND_PARTIAL
AF-09,Field Fourier shadow and multiresolution grids,Signal processing and applied mathematics,Visualization and sensor geometry,What changes when a field is sampled projected or viewed at another resolution?,Fourier entropy Ghostgrid LQE and shadow register,RP-09,BOUNDED_METHOD_FIXTURES
AF-10,ORION algebra metrology and information boundary,Computer science and engineering,Algebra and metrology,Does a reversible algebraic representation improve observation or recovery?,O8 second-order stability sparse trace and operator battery,RP-10,VALIDATED_COMPONENT_WITH_NEGATIVE_UTILITY
AF-11,Power systems and network orientation,Electrical engineering,Graph and network science,Can network state and geometry be made easier to inspect without changing domain truth?,IEEE-9 and IEEE-14 geometry graph reports and power-system navigation,RP-11,INTERNAL_REPRODUCIBILITY
AF-12,Domain orientation pilots,Biology and domain studies,Science communication,Can the same orientation method help a nonexpert navigate bounded source material?,Photosynthesis cellular respiration mitosis planetary and solar pilots,RP-12,METHODOLOGICAL_PILOTS
AF-13,Human orientation and reader utility,HCI and information design,Responsible AI and visual analytics,Does the method help a person understand uncertainty difference and decision boundaries?,Orientation Briefs THE EYE NEXAHEDRON and Reader H1,RP-13,UNVALIDATED_EXTERNALLY
AF-14,Public application and experience,Design and science communication,Cultural production,How can a person enter the work without first learning the internal vocabulary?,Rodelheim Observatory Orientation Room and Orientation Instrument,RP-14,EDITORIAL_CANDIDATES
AF-15,Glyph number sound and visual syntax,Arts and cultural studies,Mathematics where exact,Can relations be carried through visual auditory or symbolic forms without confusing expression with proof?,Rosetta Khippu alphabet-glyph matrix music OVS and Open Shell,RP-15,EXPRESSIVE_CORPUS
AF-16,Atlases books and curatorial synthesis,Publishing and cultural studies,Education and science communication,How can a large field be held as a navigable collection rather than one total claim?,NEXAH Library Atlas of Atlases HOW A WORLD IS HELD and Designing Orientation,RP-16,PUBLISHED_AND_PROPOSED_WORKS
AF-17,Research method provenance and negative results,Scientific method and meta-research,Reproducibility and governance,Can failed or bounded investigations remain useful and inspectable rather than disappearing?,Preregistration manifests independent reviews STOP records and publishability audit,RP-17,STRONG_PROCESS_EVIDENCE
AF-18,Field Glyph and Number Architecture,Mixed mathematics design and cultural study,Computer science and visualization,Can recurring transformations be mapped across number geometry projection trace and return without claiming one universal decoder?,Numbermagick Geometria Nova CRT-NTO 11357 Prime Genesis Visual Equation Atlas ORION projections CIKADA and shadow studies,RP-18,MIXED_EXACT_BOUNDED_EXPERIMENTAL_AND_EXPRESSION
