claim,status,basis_or_ceiling
typed operator methodology,SUPPORTED,multiple exact demonstrators with declared reconstruction
integrated machine,NOT_PRESENT,components remain separate
human authority,BOUND_FORMALLY,decision and STOP are human-owned
measurement layer,SPECIFIED_NOT_EXECUTED,LQE final result
control layer,SPECIFIED_NOT_IMPLEMENTED,neuromechanical matrix
Observer Return executable,NO,documentary grammar only
new Lagrangian,NOT_JUSTIFIED,required fields and plant execution missing
discrete operator formalism,PREFERRED,matches demonstrated structures
three-demo specification,READY,components reproducible; UI not built
nat-bit-byte demo,INPUT_NOT_AVAILABLE,not in authoritative final inputs
scale/grouping demo,INPUT_NOT_AVAILABLE,not in authoritative final inputs
physical/biological/quantum claims,NONCLAIM,outside evidence and authority
