tmp_root,files,size_class,classification,current_authority,proposed_destination,proposed_action,risk
archive_mc_pre_current_dashboards.py,1,small,HISTORICAL_ONE_SHOT_TOOLING,Mission Control repository history,Mission Control cutover archive,archive one sealed copy then remove tmp copy,state-changing script with absolute paths
archive_mc_review_required_records.py,1,small,HISTORICAL_ONE_SHOT_TOOLING,Mission Control repository history,Mission Control cutover archive,archive one sealed copy then remove tmp copy,state-changing script with absolute paths
build_mc_root_baseline.py,1,small,HISTORICAL_ONE_SHOT_TOOLING,Mission Control currentness history,Mission Control cutover archive,archive one sealed copy then remove tmp copy,absolute paths and superseded output target
finalize_mc_experience_works_area.py,1,small,HISTORICAL_ONE_SHOT_TOOLING,Mission Control repository history,Mission Control cutover archive,archive one sealed copy then remove tmp copy,state-changing script with absolute paths
finalize_mc_scientific_assets_area.py,1,small,HISTORICAL_ONE_SHOT_TOOLING,Mission Control repository history,Mission Control cutover archive,archive one sealed copy then remove tmp copy,state-changing script with absolute paths
fix_mc_pointer_whitespace.py,1,small,HISTORICAL_ONE_SHOT_TOOLING,Mission Control repository history,Mission Control cutover archive,archive one sealed copy then remove tmp copy,rewrites Mission Control files
math_matrix_edit,17,large,PROVENANCE_TO_PROMOTE,Math Asset Matrix workbook and evidence package,Math Asset Matrix evidence package,promote scripts and selected previews; prune generated redundancy,absolute paths and incomplete before/after hash chain
migrate_mc_august_archive.py,1,small,HISTORICAL_ONE_SHOT_TOOLING,Mission Control repository history,Mission Control cutover archive,archive one sealed copy then remove tmp copy,state-changing migration script
migrate_mc_experience_works_area.py,1,small,HISTORICAL_ONE_SHOT_TOOLING,Mission Control repository history,Mission Control cutover archive,archive one sealed copy then remove tmp copy,state-changing migration script
migrate_mc_outreach_area.py,1,small,HISTORICAL_ONE_SHOT_TOOLING,Mission Control repository history,Mission Control cutover archive,archive one sealed copy then remove tmp copy,state-changing migration script
migrate_mc_scientific_assets_area.py,1,small,HISTORICAL_ONE_SHOT_TOOLING,Mission Control repository history,Mission Control cutover archive,archive one sealed copy then remove tmp copy,state-changing migration script
mission_control_currentness_2026-09-17,9,small,SUPERSEDED_STAGING_SNAPSHOT,current Mission Control CURRENT and git history,comparison receipt only,delete after manifest and receipt review,may differ from current authoritative files
mission_control_outreach_area_ROOT_README.md,1,small,SUPERSEDED_STAGING_COPY,current Mission Control CURRENT and git history,comparison receipt only,delete after manifest and receipt review,not an authority outside Mission Control
mission_control_outreach_area_current,6,small,SUPERSEDED_STAGING_SNAPSHOT,current Mission Control CURRENT and git history,comparison receipt only,delete after manifest and receipt review,contains only one exact current duplicate
mission_control_pass2_2026-09-17,5,small,SUPERSEDED_STAGING_SNAPSHOT,current Mission Control CURRENT and git history,comparison receipt only,delete after manifest and receipt review,earlier CURRENT candidate
mission_control_pass2_2026-09-17_ARCHIVE_INDEX.csv,1,small,SUPERSEDED_STAGING_COPY,current Mission Control CURRENT and git history,comparison receipt only,delete after manifest and receipt review,loose duplicate candidate
mission_control_pass2_2026-09-17_CONTROLLING_SOURCES.csv,1,small,SUPERSEDED_STAGING_COPY,current Mission Control CURRENT and git history,comparison receipt only,delete after manifest and receipt review,loose duplicate candidate
mission_control_pass2_2026-09-17_CURRENT_README.md,1,small,SUPERSEDED_STAGING_COPY,current Mission Control CURRENT and git history,comparison receipt only,delete after manifest and receipt review,loose duplicate candidate
mission_control_pass2_2026-09-17_PORTFOLIO_TRUTH.json,1,small,SUPERSEDED_STAGING_COPY,current Mission Control CURRENT and git history,comparison receipt only,delete after manifest and receipt review,loose duplicate candidate
mission_control_root_hygiene_2026-09-17,4,small,SUPERSEDED_STAGING_SNAPSHOT,current Mission Control CURRENT and git history,comparison receipt only,delete after manifest and receipt review,earlier baseline and validator copies
pdfs,46,medium,MIXED_PRIVATE_AND_GENERATED_HOLDING_AREA,no authority established,split between originating review and private custody,owner review before any move or deletion,possible private/legal/unrelated content
rebind_mc_outreach_portfolio_after_science_move.py,1,small,HISTORICAL_ONE_SHOT_TOOLING,Mission Control repository history,Mission Control cutover archive,archive one sealed copy then remove tmp copy,rewrites Mission Control paths and hashes
return_mc_commit_boundary_review.py,1,small,HISTORICAL_ONE_SHOT_TOOLING,Mission Control repository history,Mission Control cutover archive,archive one sealed copy then remove tmp copy,operation-specific review mutation
update_mc_validator_for_dashboard_cutover.py,1,small,HISTORICAL_ONE_SHOT_TOOLING,Mission Control repository history,Mission Control cutover archive,archive one sealed copy then remove tmp copy,rewrites validator source
