stage,nexah_term,ols_operator,ols_owner,required_declarations_or_inputs,current_binding,status,prohibited_inference
1,"declare carrier and frame","declaration model","OLS-2 declarations","identity; context; perspective; scale; time when sequence matters","source packages declare carrier/frame to different degrees","PARTIAL","carrier is not representation"
2,"cut / aperture / slice","OP-SELECT","Navigation profile","alternatives; basis or constraint; representation; applicable frame/scale/time","CRIC ViewRecord.aperture_or_scope and Prime QRTp cut are concrete; visual slices vary","SUPPORTED_PROFILE_BOUND","selection is not recommendation or optimality"
3,"move / rotate / flip / transport","OP-TRANSFORM","Transformation profile","input; transformation description; identity/time distinction; applicable declarations","CRIC Q/T/R operators and bounded profile routes","SUPPORTED_PROFILE_BOUND","transformation is not validation or improvement"
4,"measure / sample","OP-OBSERVE","Universal Base Language","identifiable source; context/time/evidence/uncertainty as applicable","CRIC ObservationRecord; NBV deterministic grid measurements","SUPPORTED_PROFILE_BOUND","observation is not truth or evidence promotion"
5,"map / render / layer / Neon","OP-REPRESENT","Universal Base Language","representation type; construction perspective; context; provenance; status","NBV bands and Neon visibility maps; CRT residue view","SUPPORTED_PROFILE_BOUND","representation is not reality or ontology"
6,"bind / compare views","OP-COMPARE","Universal Base Language","identified items; compatibility; comparison basis; declarations","typed residual basis in CRIC/NRRC candidates","SUPPORTED_WITH_DECLARED_BASIS","difference is not causality or preference"
7,"audit I/L/A/U","OP-VALIDATE","Evidence/Validation profile","subject; criteria; evidence; provenance; uncertainty","exact four-bucket audit in CRIC/NRRC; NBV and QRTp package-local rules","SUPPORTED_PROFILE_BOUND","validation is not authority or outcome admission"
8,"return / reconstruction","OP-TRANSFORM + OP-COMPARE","Transformation + Universal Base Language","route; start/returned identity; comparison frame; metric; tolerance","NRRC ReturnTest candidate; CRIC reconstruction/residual/receipt","SUPPORTED_IN_CANDIDATE_CONTRACTS","return is not identity"
9,"receipt / preservation","OP-RECORD when activated","Memory/Learning profile","identity; time; provenance; evidence and uncertainty status","CRIC ExecutionReceipt and repository custody records","SUPPORTED_PROFILE_BOUND","recording does not upgrade epistemic status"
10,"human-facing explanation","OP-ORIENT + OP-EXPLAIN","Universal Base Language","declared basis; context; perspective; evidence; uncertainty; limitations","THE EYE / NEXAHEDRON bounded display candidates","DISPLAY_ONLY","display is not Human adoption or scientific truth"

