claim_id,relation,evidence,classifications,decision
C01,c to quadratic iteration to escape array to RRTM V1 render,run_test.py plus stored results and render,"SOURCE_DOCUMENTED;GENERATOR_IMPLEMENTED;NUMERICALLY_REPRODUCED",confirmed for RRTM V1 contract
C02,intake julia_c PNG generated by located RRTM V1 generator,contracts differ and no matching generator located,INSUFFICIENT_SOURCE_BINDING,not demonstrated
C03,complex recurrence equals explicit R2 recurrence,585 comparisons max error 3.737461227697573e-13,"ESTABLISHED_COMPLEX_DYNAMICS;NUMERICALLY_REPRODUCED",confirmed within 1e-12
C04,critical orbit escapes,first escape at n=33,NUMERICALLY_REPRODUCED,ESCAPED
C05,exact or near periodic return,"minimum tested distance 0.020144876539359105 for p=2; threshold 1e-12",INSUFFICIENT_SOURCE_BINDING,NO_RETURN_DEMONSTRATED
C06,conjugate mirror,0 mismatches among 90601 reflected pixels,"ESTABLISHED_COMPLEX_DYNAMICS;CONJUGATE_MIRROR_CONFIRMED",confirmed
C07,RRTM V1 512x384 escape array replay,independent hash equals stored 504688d397f7773867d7c320c80b977938be8df938fc8ef7b598d5cd72b37200,"SOURCE_DOCUMENTED;NUMERICALLY_REPRODUCED",BYTE_EXACT array
C08,7 is third prime,P3=5,CONTRADICTED,false
C09,7 is fourth prime and 97 is twenty-fifth prime,P4=7 and P25=97,EXACT_ARITHMETIC,true
C10,0.750 equals 75/100 equals 3/4,direct arithmetic,EXACT_ARITHMETIC,true
C11,prime indices intentionally generate Julia parameter,no source binding,NEW_ADDITIVE_ANNOTATION,not demonstrated
C12,ATLAS parameter/dynamical distinction,visible image text,"SOURCE_DOCUMENTED;ESTABLISHED_COMPLEX_DYNAMICS",directionally correct
C13,ATLAS five Cs as Julia variables,no implementation found,SOURCE_LABEL_ONLY,conceptual only
C14,44.4 kHz minus 44.1 kHz equals 300 Hz,direct arithmetic,EXACT_ARITHMETIC,true
C15,1.5 Hz follows directly from 44.1 and 44.4 kHz,difference is 300 Hz,CONTRADICTED,requires undeclared transformation
C16,lunar/geodetic/interferometry/tesseract physical claims,visual labels only,"SOURCE_LABEL_ONLY;UNSUPPORTED_PHYSICAL_CLAIM",not demonstrated
C17,quantum/tachyon/proton/Pleiadian/Klein-bottle claims,visual labels only,"SOURCE_LABEL_ONLY;UNSUPPORTED_PHYSICAL_CLAIM",not demonstrated
C18,EXP-JANUS-19C and Julia share a mathematical model,shared vocabulary only,INSUFFICIENT_SOURCE_BINDING,separate experiments
C19,Julia state space is R2,z has real and imaginary components,ESTABLISHED_COMPLEX_DYNAMICS,confirmed
C20,tesseract interpretation,no four-state update map,UNSUPPORTED_PHYSICAL_CLAIM,not demonstrated
C21,RRTM acronym expansion,no explicit expansion found in inspected scope,INSUFFICIENT_SOURCE_BINDING,left unexpanded
