capability_id,name,DISCOVERABLE,UNDERSTANDABLE,OPERABLE,REPEATABLE,TRUSTWORTHY,ACTIONABLE,new_user_can_find,input_explained,output_explained,limitations_visible,next_human_action_clear,residual_preserved,usability_summary,primary_gap
CAP-01,"Multi-view intake and frame declaration",PARTIAL,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,PARTIAL,"Method is strong but distributed","No single entry or common schema"
CAP-02,"ILAU sealed representation comparison",NO,PARTIAL,NO,YES,YES,PARTIAL,NO,YES,YES,YES,PARTIAL,YES,"Internally trustworthy and repeatable; externally inaccessible","Closed profile and absent public route"
CAP-03,"Residual and ReturnTest recording",PARTIAL,PARTIAL,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,YES,YES,PARTIAL,YES,"Works in declared profiles","Metric/tolerance and entry are case-specific"
CAP-04,"Provenance, manifest and release-pin verification",PARTIAL,PARTIAL,YES,YES,YES,YES,PARTIAL,YES,YES,YES,YES,YES,"Reliable for maintainers","No consolidated cross-system view"
CAP-05,"Claim Ceiling and Human Authority gates",YES,YES,YES,YES,YES,PARTIAL,YES,YES,YES,YES,PARTIAL,YES,"Boundary is clear; follow-through varies","Next action is inconsistent across outputs"
CAP-06,"Orientation Language Specification 1.0",YES,PARTIAL,YES,YES,YES,PARTIAL,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,"Public and governed but specialist","High semantic learning cost"
CAP-07,"NEXAH Kernel and source adapters",PARTIAL,PARTIAL,YES,YES,YES,PARTIAL,PARTIAL,YES,YES,YES,PARTIAL,YES,"Usable by Python developers","Technical setup and narrow domain guidance"
CAP-08,"Network Orientation CLI and briefs",PARTIAL,YES,YES,YES,YES,YES,PARTIAL,YES,YES,YES,YES,YES,"Strong standalone technical path","No hosted/nontechnical entry or user validation"
CAP-09,"IEEE Geometry benchmark orientation",PARTIAL,PARTIAL,YES,YES,YES,PARTIAL,PARTIAL,YES,YES,YES,PARTIAL,YES,"Repeatable research path","Specialist domain and research-only claim ceiling"
CAP-10,"ORION certified structural processing",YES,PARTIAL,YES,YES,YES,PARTIAL,YES,PARTIAL,YES,YES,PARTIAL,YES,"Strong technical core","No hosted processor and complex certified scope"
CAP-11,"ORION Runtime and Gateway boundary",PARTIAL,NO,PARTIAL,PARTIAL,PARTIAL,NO,PARTIAL,PARTIAL,YES,YES,NO,PARTIAL,"Executable history but current role is difficult to use","Certified/runtime split and production gaps"
CAP-12,"NEXAHEDRON bounded Human Workspace",YES,YES,YES,PARTIAL,PARTIAL,YES,YES,YES,YES,YES,YES,PARTIAL,"Best public practical capability","Memory-only record and no external validation"
CAP-13,"Curated reference cases",YES,YES,YES,YES,PARTIAL,YES,YES,YES,YES,YES,YES,PARTIAL,"Concrete and public","No evidence that users orient better"
CAP-14,"NEXAH public Library and Living Atlas",YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,PARTIAL,"Strong public editorial usability","Weak bridge to executable tools"
CAP-15,"THE EYE sealed result projection",NO,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,"Internally clear; not public","Public route absent and only six fixed demos"
CAP-16,"NRRC candidate contract validation",NO,PARTIAL,YES,YES,YES,PARTIAL,NO,YES,YES,YES,PARTIAL,YES,"Good local developer tool","No canonical release/home or integration"
CAP-17,"Science Lab execution and closure governance",PARTIAL,PARTIAL,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,YES,YES,PARTIAL,YES,"Strong internal discipline","High density and specialist navigation"
CAP-18,"Interactive HTML orientation instruments",NO,PARTIAL,PARTIAL,PARTIAL,NO,NO,NO,PARTIAL,PARTIAL,PARTIAL,NO,PARTIAL,"Interaction exists but instrument status is weak","No index, common contract, footer or maintained dependencies"
CAP-19,"Rödelheim and visual/operator research cartography",PARTIAL,PARTIAL,YES,PARTIAL,PARTIAL,NO,PARTIAL,YES,PARTIAL,YES,NO,PARTIAL,"Useful orientation material","Mixed evidence levels and no direct action"
CAP-20,"Builder Lab prototype and demo infrastructure",NO,NO,PARTIAL,NO,NO,NO,NO,NO,PARTIAL,PARTIAL,NO,NO,"Archive-heavy prototype environment","Broken suite, dependencies and no current entry"
CAP-21,"Archive, custody and genealogy management",PARTIAL,PARTIAL,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,YES,YES,PARTIAL,YES,"Reliable internal custody workflow","Manual path-heavy search and status reconstruction"
CAP-22,"Orientation Translation and evidence synthesis",PARTIAL,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,YES,YES,YES,PARTIAL,YES,"Strong source-bound research workflow","No public operation or reader-effect evidence"
CAP-23,"Reproducible GLB visualization builders",NO,PARTIAL,YES,YES,PARTIAL,NO,NO,YES,PARTIAL,YES,NO,PARTIAL,"Technically reproducible local builder","Incoming/unregistered and no user-facing result contract"

