claim,result,classification
S_N,complete-domain involution,STANDARD_MODULAR_INVOLUTION
C_N,restricted,EXACT_ARITHMETIC
named shadows,all pass,EXACT_ARITHMETIC
18 pair,orientation reversed; distance preserved,ORIENTATION_REVERSED; DISTANCE_PRESERVED
7801/1087,reverse/complement/two-orbit,DECIMAL_BASE_DEPENDENT; COMPLEMENT_PAIR; TWO_ELEMENT_SHADOW_ORBIT
pair uniqueness,41 unordered orbits,NONUNIQUE_REVERSE_COMPLEMENT_FAMILY
commutation,"partial equality, many failures",NONCOMMUTING_WITH_EXCEPTIONS
labels,vocabulary only,SOURCE_LABEL_ONLY
7801 Prime,false: 29*269,CONTRADICTED
5+2,no rule,UNDEFINED_COUNTING_RULE; NEW_ADDITIVE_ANNOTATION; SELECTED_PATTERN_ONLY
controls,distinct,CONTROL_CHARACTER_CONFIRMED; NUL_CONFIRMED; EMPTY_STRING_CONFIRMED
physics,not tested,UNSUPPORTED_PHYSICAL_CLAIM
biology,not tested,UNSUPPORTED_BIOLOGICAL_CLAIM
