action,affected_component,authority_required,dependency,risk,decision,reason
accept architectural compatibility,Mission Control review,current bounded review,sealed audit results,overclaiming implementation,PROCEED,documented decision only
implement shared Ghostgrid interface,new additive prototype,separate Human authorization,frozen schemas and fixtures,scope/claim drift,HOLD,implementation not authorized
modify THE EYE or projection profile,THE EYE,component owner gate,upstream relation contract and ORION result,ownership collision,STOP,explicitly forbidden
modify ORION Core,ORION,ORION owner gate,none in this review,core regression,STOP,explicitly forbidden
bind Ghostgrid to ILAU production,ILAU/NRDL adapter,Owner Gate,governed relation-record contract,semantic ownership collision,HOLD,compatible proposal only
bind Ghostgrid to QRT,QRT,definition/authority source,explicit QRT contract,invented acronym semantics,HOLD,QRT not found
use legacy visuals as evidence,legacy visuals,new source-binding gate,exact generators/arrays,visual inference,STOP,unresolved and unnecessary
build reversal-complement prototype first,new additive prototype,separate implementation authorization,03 interface spec and frozen kernel,integration defects,HOLD,"recommended next prototype, not authorized"
increase demonstrator count,portfolio,new Mission Control decision,type incompatibility evidence,scope expansion,STOP,"Ghostgrid is shared layer, not fourth demo"
public release,outreach,Human release decision,implemented reviewed prototype,claim ceiling leakage,HOLD,architecture only
