id,source_file,file_sha256,page_or_frame,visible_or_machine_value,semantic_role,date_or_version,provenance_level,chronology,generation_role,verification,status_note
PR-001,output-17.png,ffef87793651b52d5feb02af84e352bfe2eb0073bd958d5708584e42a930492a,filename,17,sequential export filename,source timestamp copied 2026,P1_FILENAME_OR_DECORATIVE_LABEL,historical package,generated filename,inventory verified,not a visible parameter
PR-002,output-41.png,ff7106e0a65371d0f78d244e08cc8c637bd6ad0e3127960812a7cf0d13b5416f,filename,41,sequential export filename,source timestamp copied 2026,P1_FILENAME_OR_DECORATIVE_LABEL,historical package,generated filename,inventory and visual verified,41 not visible in image
PR-003,output-74.png,062037a7bd3649c6f7ed7e55d32b84677c91acf12dac21449b240b94337c3332,filename,74,sequential export filename,source timestamp copied 2026,P1_FILENAME_OR_DECORATIVE_LABEL,historical package,generated filename,inventory and visual verified,74 not visible in image
PR-004,output-33.png,1f68a64c93579d642b8dea83d2cb1b2f86f6a427734fadc1eebe85d50e1e2a0f,filename,33,sequential export filename,source timestamp copied 2026,P1_FILENAME_OR_DECORATIVE_LABEL,historical package,generated filename,inventory and visual verified,33 not a displayed numeric parameter
PR-005,output-34.png,f2906343fea292a432841079dd56e6e4f434c91424696c1e5ec0635bdebbd807,filename,34,sequential export filename,source timestamp copied 2026,P1_FILENAME_OR_DECORATIVE_LABEL,historical package,generated filename,inventory and visual verified,34 not a displayed numeric parameter
PR-006,output-27.png,f6d7195ec7852084b12ed72d026c3977ede20626d817993be4fb3a12ffc930c4,image,17,title Refined Connections to h with 17 82 64 and Prime Relations,source timestamp copied 2026,P3_CONTEMPORANEOUS_VISUAL_VALUE,historical visual,annotated,visually verified,local annotation; no 41 or 74
PR-007,Mandelbrot Observer Path Reconstruction/Mandelbrot_Refined_Zoom.gif,9f6682a4d22f14ca8394f3171370378d229c1d4aaa675b9b58d08634294256b0,frame 17,17,frame counter,2024-11-21,P3_CONTEMPORANEOUS_VISUAL_VALUE,contemporaneous export,generated frame label,visually verified,temporal sample index in 30-frame GIF
PR-008,Mandelbrot Observer Path Reconstruction/Mandelbrot_Refined_Zoom 2.gif,9f6682a4d22f14ca8394f3171370378d229c1d4aaa675b9b58d08634294256b0,frame 17,17,frame counter,2024-11-21,P3_CONTEMPORANEOUS_VISUAL_VALUE,contemporaneous exact duplicate,generated frame label,visually verified,duplicate occurrence
PR-009,Mandelbrot Observer Path Reconstruction/Mandelbrot_Zoom_C_I_KA_3301.gif,20116d06d559c1d293eaa078366f843e716d3b9b6bea1411c7881787aeaa38b5,frame 17,17,Frame 17/30,2024-11-21,P3_CONTEMPORANEOUS_VISUAL_VALUE,contemporaneous export,generated frame label,visually verified,temporal sample index; no 17-cycle declaration
PR-010,Mandelbrot Observer Path Reconstruction/Mandelbrot_Zoom_C_I_KA_3301 2.gif,20116d06d559c1d293eaa078366f843e716d3b9b6bea1411c7881787aeaa38b5,frame 17,17,Frame 17/30,2024-11-21,P3_CONTEMPORANEOUS_VISUAL_VALUE,contemporaneous exact duplicate,generated frame label,visually verified,duplicate occurrence
PR-011,Mandelbrot Observer Path Reconstruction/Mandelbrot_Zoom_Fixed.gif,62257f20ab3dc356a7a52fe6ac0f0a78cd73f3abbbde87ee45dceebbf10effc9,frame 17,17,Frame 17/30,2024-11-21,P3_CONTEMPORANEOUS_VISUAL_VALUE,contemporaneous export,generated frame label,visually verified,temporal sample index; no return at frame 17
PR-012,Mandelbrot Observer Path Reconstruction/Mandelbrot_Zoom_Fixed 2.gif,62257f20ab3dc356a7a52fe6ac0f0a78cd73f3abbbde87ee45dceebbf10effc9,frame 17,17,Frame 17/30,2024-11-21,P3_CONTEMPORANEOUS_VISUAL_VALUE,contemporaneous exact duplicate,generated frame label,visually verified,duplicate occurrence
PR-013,output-46.png,59ffd0305770c6f817690f3b8bde29d38f5e81fc37dc8d3fa996f29c2754c0f9,image,33,Harmonic Center (33),source timestamp copied 2026,P3_CONTEMPORANEOUS_VISUAL_VALUE,historical visual,annotated,visually verified,local narrative annotation; no modulus or coupling
PR-014,output-9.png,977838d965c9bb4716f0abfe3d631468f929af4e5f7a4dae338c59b0d842ced6,image,Crown,Aligned Green Line (Crown),source timestamp copied 2026,P3_CONTEMPORANEOUS_VISUAL_VALUE,historical visual,annotated,visually verified,spatial annotation only
PR-015,output-50.png,8e187f61815d5e0fa997e59268834eb08a6797f872ea9fbbccfd14267c7e95ae,image,Cycle,Refined Cosmic Cycle title,source timestamp copied 2026,P3_CONTEMPORANEOUS_VISUAL_VALUE,historical visual,annotated,visual plus intake review,no 17-state closure declaration
PR-016,NEXAH — Harmonic Transition Physics_ Mathematical Research Report.md,6b8e8595d98caa6671307ebf910199090b69d7ad4258c5bcae88d1ac7c0c0ceb,line 24,17,17 / 24 / 29 / 1836 numerical structure,2026 retrospective,P2_RETROSPECTIVE_TEXT,retrospective,mentioned,exact text verified,no 41 or 74 in this occurrence
