component,ecosystem_location,current_authority,formal_status,implementation_status,test_status,current_capability,missing_dependency,integration_candidate,expected_effect,claim_ceiling,recommended_action
"OLS experiment operators","MISSION_01_SCIENTIFIC_BACKBONE/01_CANONICAL_OPERATOR_INVENTORY.md","OLS semantic scope","A_formal_semantic","not_mechanics_runtime","conformance_lineage","provenance experiment grammar","mechanical schema/runner","test envelope","high reproducibility","semantic conformance","reuse unchanged"
"OLS TRANSFORM","MISSION_01_SCIENTIFIC_BACKBONE/01_CANONICAL_OPERATOR_INVENTORY.md:120","OLS semantic scope","A_formal_semantic","implementation_independent","not dynamics test","typed transformation","physical realization","state/event wrapper","medium traceability","no execution claim","wrapper only"
"ORION certified core","TITAN00_NEXAH_TOTAL_SYSTEM_INVENTORY/15_TITAN00_FINAL_DECISION.md","ORION frozen scope","A_formal_bounded","implemented_certified_own_scope","replay own scope","structural relations","external mechanics adapter","none now","low mechanics","structural only","do not modify"
"ORION transformation planner","TITAN00_NEXAH_TOTAL_SYSTEM_INVENTORY/02_TOTAL_COMPONENT_INVENTORY.md:33","separate candidate","A_formal_metadata","implemented_not_integrated","no target execution","route planning","mechanics operator/adoption","future adapter","medium","planning only","defer"
"TITAN-00","TITAN00_NEXAH_TOTAL_SYSTEM_INVENTORY","closed review","A_formal_documentary","documented","closed","maturity classification","none","status discipline","medium","no activation","reuse distinctions"
"RCB-01 counter-rotation","RCB01_ROOT_COUNTER_ROTATING_CROWNS_BDG_SPECIFICATION_2026-09-04","closed specification","B_defined","not_implemented","not_executed","planar opposed rotations","3D dynamics","lineage only","medium","kinematics only","do not reopen"
"IJQ quaternion baseline","SCIENCE_LAB/CASE_STUDIES/IJQ01_COMPLEX_IJQ_QUATERNION_SLICE_VIEW_ALGEBRA_AUDIT","closed audit","A_formal","no mechanics","algebra test only","quaternion discriminator","SO3/multibody state","orientation layer","high correctness","orientation only","reuse"
"Demonstrator dynamics","NEXAH_LAB_OPERATOR_DEMONSTRATOR_AUDIT","toy audit","A_equations","implemented_toy_2D","software observations","controlled ODE/ablations","rigid body/energy","design pattern","medium","toy only","do not reuse plant"
"Demonstrator RELEASE","NEXAH_LAB_OPERATOR_DEMONSTRATOR_AUDIT/CURRENT_KERNEL_MAP.md:97","candidate mode","A_defined_mode","toy_implemented","value untested","zero-control mode","event model","terminology split","high clarity","policy only","qualify label"
"Grip/Gap/Boundary","SCIENCE_LAB/CASE_STUDIES/LQE01_POST_CLOSEOUT_VISUAL_SUPPLEMENT_AND_GRIP_GAP_ANNOTATION_2026-09-09","closed annotation","D_mnemonic","visual_documentary","not mechanics","retention/separation mnemonic","forces/parameters","naming only","low","no law/causation","keep mnemonic"
"EYE","NRDL_TAR01_ORION_EYE_TARGET_ARCHITECTURE_REVIEW_2026-09-04","candidate display architecture","C_design","not mechanics","route walkthrough","projection separation","measurement binding","optional view","low mechanics","projection only","defer"
"Gate/Janus drift","MISSION_01_SCIENTIFIC_BACKBONE/01_CANONICAL_OPERATOR_INVENTORY.md:184","working/speculative research","A_formal_research","partial lineage","not mechanics validated","field diagnostics","mechanical mapping","optional diagnostic","low primary","not event/transfer","exclude primary"
"Shadow","SCIENCE_LAB/CASE_STUDIES/LQE01_LIGHT_OCCLUDER_RECEIVER_GEOMETRY_2026-09-09","closed optics","A_own_scope","own demonstrator","closed optics","view separation","none relevant","noncollapse only","low","optics only","no physical integration"
"Golf mechanics","no local formal component located","none","C_visual_motivation_only","not_implemented","not_tested","application question only","measured or synthetic model","future test domain","medium if authorized","no golfer claim","use synthetic model only"
"Pendulum/coupled-link model","no local formal component located","none","C_not_formalized_locally","not_implemented","not_tested","analogy only","frozen three-body dynamics","future mechanics substrate","high if authorized","synthetic model only","specify before implementation"
"EXP20 A-E","VST01 ledger and bounded search","source absent","E_insufficient","not_located","not_reconstructable","titles only","primary package","none","none","no values/statistics","stop"
"TDC mechanics spec","this review/05_TIME_DEPENDENT_COUPLING_FORMALIZATION.md","review candidate","C_justified","not_implemented","spec only","typed synthetic hypothesis","Owner gate/parameters/implementation","OLS envelope plus mechanics","highest","synthetic result only","offer separate gate"
