source_id,system,location,artifact_type,role,authority,evidence_use,sha256,observed_state,limitations
SRC-001,DESK 01 OWNER TASK,/Users/tho2020/.codex/attachments/e8ba13fc-3f1b-4d9c-89dc-4eb83fcfeca8/pasted-text.txt,TXT,owner authorization and review specification,OWNER_TASK,scope and acceptance criteria,839bea13e14dc4d0196cde4581a87f0f9f88e878b11a8e8fd979ef24cab773e9,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-002,MISSION CONTROL,/Users/tho2020/Documents/NEXAH ECOSYSTEM/00 EXECUTIVE/NEXAH-Mission-Control/README.md,MD,system or package orientation,SOURCE_DOCUMENTATION,authority; freeze; lifecycle and system status,0d1996aa426529908b19e7eada46bfa3d0ba6c2e51af9b11241b1e4f0a626968,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-003,MISSION CONTROL,/Users/tho2020/Documents/NEXAH ECOSYSTEM/00 EXECUTIVE/NEXAH-Mission-Control/00_LAB_RESEARCH_DIRECTOR_DESK/CURRENT_STATE.md,MD,documentary evidence,SOURCE_DOCUMENTATION,authority; freeze; lifecycle and system status,1a5193b4bff2f7ff5395189f8d9641b38f339a2bcdb0e2f6ff06748bb20ddd13,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-004,MISSION CONTROL,/Users/tho2020/Documents/NEXAH ECOSYSTEM/00 EXECUTIVE/NEXAH-Mission-Control/ECOSYSTEM_LIFECYCLE_ADOPTION/README.md,MD,system or package orientation,SOURCE_DOCUMENTATION,authority; freeze; lifecycle and system status,04a182b0f0c45d43a7164904362cde5df8213eae056b9d19d8fd35dba831a1f8,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-005,MISSION CONTROL,/Users/tho2020/Documents/NEXAH ECOSYSTEM/00 EXECUTIVE/NEXAH-Mission-Control/ROEDELHEIM_OBSERVATORY_BUNDLE/INDEX.md,MD,system or package orientation,SOURCE_DOCUMENTATION,authority; freeze; lifecycle and system status,4592c31b599a1a47e8ac9d1589599ecd4487d697be51e1f523f9997fc5c3cbc5,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-006,MISSION CONTROL,/Users/tho2020/Documents/NEXAH ECOSYSTEM/00 EXECUTIVE/NEXAH-Mission-Control/REVIEWS/NEXAH_THE_EYE_A5_LOCAL_NEXAHEDRON_RESULT_VIEW_2026-09-03/13_A5_FINAL_DECISION.md,MD,governance or bounded decision evidence,GOVERNANCE_EVIDENCE,authority; freeze; lifecycle and system status,2483597c9e73aa2ba55a2d765252383b91859e2550bc1cb506cb302e0e1c1dc9,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-007,MISSION CONTROL,/Users/tho2020/Documents/NEXAH ECOSYSTEM/00 EXECUTIVE/NEXAH-Mission-Control/REVIEWS/NEXAH_THE_EYE_A6_CURATED_ONLINE_RUNTIME_BOUNDARY_2026-09-03/13_A6_FINAL_DECISION.md,MD,governance or bounded decision evidence,GOVERNANCE_EVIDENCE,authority; freeze; lifecycle and system status,51779c1a822d1784a0ad5ac3c7fcacf549fc09d3f7bca34efac6c8c62cf23b60,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-008,MISSION CONTROL,/Users/tho2020/Documents/NEXAH ECOSYSTEM/00 EXECUTIVE/NEXAH-Mission-Control/REVIEWS/NEXAH_THE_EYE_A7_WORKSPACE_PRIVATE_STAGING_FINAL_CLOSEOUT_2026-09-04/PUBLIC_SAFE_EVIDENCE/03_A7_FINAL_DECISION.md,MD,governance or bounded decision evidence,GOVERNANCE_EVIDENCE,authority; freeze; lifecycle and system status,ed06cd2e5f4733f157f4947c0b54f99d6aa37d504dc70f12b0205e224b4fccf5,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-009,NEXAH CORE / OLS / KERNEL,/Users/tho2020/Documents/NEXAH ECOSYSTEM/10 NEXAH CORE/NEXAH/README.md,MD,system or package orientation,SOURCE_DOCUMENTATION,framework; OLS; Kernel; validation evidence,4ab470f1e7671fbc49a971c4d4e253f1fd2ddead936d65b527abf9e225c0989c,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-010,NEXAH CORE / OLS / KERNEL,/Users/tho2020/Documents/NEXAH ECOSYSTEM/10 NEXAH CORE/NEXAH/ORIENTATION_LANGUAGE/README.md,MD,system or package orientation,SOURCE_DOCUMENTATION,framework; OLS; Kernel; validation evidence,2e6e092d8908891007ab60ca6f29276cb2e75ae20eb8b9670596ae5456c9742c,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
