FORCED_EQUALITY,CLASSIFICATION,EXACT_PREDECESSOR_CONTROL,CONSEQUENCE
MARK=FORM,REJECTED_BY_PREDECESSOR,"CUN-01: marks/wedge impressions compose sign form","Physical component instance and recognized configuration collapse"
FORM=UNIT,REJECTED_BY_PREDECESSOR,"CUN-01: SIGN_FORM distinct from SIGN identity; GRB-01: components distinct from composite unit","Realization and system-recognized identity collapse"
UNIT=SIGN,DOMAIN_DEPENDENT,"CUN-01 requires SIGN; GRB-01 uses ORTHOGRAPHIC_UNIT","Sign is a domain-specific unit category not a universal synonym"
FORM=SIGN,REJECTED_BY_PREDECESSOR,"CUN-01 typed SIGN_FORM separately from SIGN","Variant/realization and sign identity collapse"
SIGN=VALUE,REJECTED_BY_PREDECESSOR,"CUN-01: SIGN_FORM_EQUALS_SIGN_VALUE=NO and polyvalence supported","Sign identity and contextual value collapse"
UNIT=VALUE,REJECTED_BY_PREDECESSOR,"VOR-01: GRAPHEME_EQUALS_PHONEME=NO; GRB-01 same sequence not same value","Functional unit and assigned value collapse"
VALUE=MEANING,REJECTED_BY_PREDECESSOR,"CUN-01: SIGN_VALUE_EQUALS_MEANING=NO; VOR-01 lexical/pronunciation/meaning boundaries","Reading/function and semantic interpretation collapse"
MARKER=FEATURE,REJECTED_BY_PREDECESSOR,"GRB-01: GRAMMATICAL_FEATURE_EQUALS_VISIBLE_MARKER=NO","Exponent role and grammatical feature collapse"
FEATURE=INFORMATION,DOMAIN_DEPENDENT,"GRB-01 information-location ledger; no equality established","Information is too broad to be an identity claim"
ABSENCE_OF_MARKER=ABSENCE_OF_INFORMATION,REJECTED_BY_PREDECESSOR,"GRB-01: ABSENCE_OF_MARKER_EQUALS_ABSENCE_OF_INFORMATION=NO","Context-recovered or elsewhere-marked information disappears"
VALUE_TYPE=VALUE,REJECTED_BY_ADDITIONAL_CONTROL,"Croatian Glagolitic MISLITE: phonetic value /m/ and numeric values 60/40 are different typed values","Classification of a value and the value itself collapse"
SCRIPT=LANGUAGE,REJECTED_BY_ADDITIONAL_CONTROL,"Croatian historical tri-script literacy and Croatian Church Slavonic Glagolitic use","Writing system and language collapse"
