capability,bound_evidence,status,decision_class,claim_ceiling
"Shared immutable p(x,y)","No source hash or manifest links Fourier and entropy visuals","NOT_DEMONSTRATED","E","none"
"Fourier transform implementation","Absent from both supplied Python generators","NOT_IMPLEMENTED","E","none"
"Independent candidate FFT","NumPy 2.3.5 calculation on unbound 8x8 table","VERIFIED_CONTROL","B","audit-only mathematics"
"Parseval check","Absolute discrepancy 3.552713678800501e-15","VERIFIED_CONTROL","B","floating-point consistency"
"Entropy implementation","No legacy code or formula bound to visual","NOT_IMPLEMENTED","E","none"
"Independent Shannon entropy","Normalized 8x8 candidate gives H=3.983066194892531 nats","VERIFIED_CONTROL","B","audit-only reinterpretation"
"Thermodynamic entropy","No ensemble state measure or justified k_B mapping","NOT_DEMONSTRATED","E","none"
"kappa_phi_pi","Computed independently as 0.4292034214696825386...","VALUE_VERIFIED","B","dimensionless arithmetic"
"kappa role in generators","phi assigned but unused; kappa absent","NO_TESTED_ROLE","E","none"
"1e-15 controlled residual","float64 FFT roundtrip 1.6653345369377348e-16 max","EXPECTED_FLOATING_POINT_RESIDUAL","B","numerical control"
"Legacy 1e-15 displayed field","No bound numeric array or producing operation","UNRESOLVED","E","none"
"Legacy galactic frequency","Reported value differs by factor ten","ARITHMETIC_ERROR","D","documentary"
"Zeta function","No zeta evaluation in generators","NOT_IMPLEMENTED","D","title only"
"Prime sieve","Internal deterministic sieve to 360","IMPLEMENTED_STATICALLY","B","prime-index visualization"
"Mobius arithmetic function","Absent","NOT_IMPLEMENTED","D","title only"
"Mobius topology","No typed strip/topological construction","NOT_IMPLEMENTED","D","visual metaphor"
"CSV input consumption","No file reads or CSV strings in generators","NONE","A","static code fact"
"Overlay generator execution","Attempted; missing numpy in system Python and matplotlib in bundled runtime","BLOCKED_DEPENDENCY","E","no output"
"MP4 generator execution","Stopped before execution due unresolved external writer subprocess","SAFETY_STOP","E","no output"
"Byte-exact reproduction","No successful generator output","NOT_ACHIEVED","E","none"
"Pixel-equivalent reproduction","No bound renderer/dependencies","NOT_ACHIEVED","E","none"
"Numeric equivalence to legacy visual","No source arrays behind visuals","NOT_TESTABLE","E","none"
"Elementary period equations","f=1/T and omega=2pi/T","DIMENSIONALLY_VALID","B","established mathematics"
"Physical reactor claims","Titles/prose only; no apparatus or observations","NOT_DEMONSTRATED","D","documentary"
"Biological DNA claims","No biological data/model","NOT_DEMONSTRATED","D","title only"
"QED validation","No quantum-electrodynamic derivation or experiment","NOT_DEMONSTRATED","D","title only"

