family_id,family_name,classification,approx_artifact_count,representative_examples,common_operator_or_thesis,interactivity,reproducibility,produces_output_or_illustrates,recommended_home,visibility_action,evidence_basis,claim_ceiling
VC-01,NEXAHEDRON bounded workspace,INSTRUMENT,1 public application plus route set,nexahedron.com; /orient; /cases; /library,structured human-led orientation workspace,YES,PARTIAL,PRODUCES_BOUNDED_SESSION_OUTPUT,NEXAHEDRON,EXPOSE,live surface plus local implementation,Workspace supports bounded orientation; it is not autonomous scientific authority.
VC-02,THE EYE six sealed demonstrations,DEMONSTRATOR,6 sealed demonstration fixtures,identity; loss; added; unknown; return lock; open residual,representation comparison and bounded result view,YES,YES,PRODUCES_SEALED_COMPARISON_OUTPUT,THE EYE inside NEXAHEDRON,INTEGRATE_LATER,A5/A6/A7 evidence and curated manifest,Internal demonstration readiness does not establish public availability.
VC-03,HTML Orientation Demonstrator Series,DEMONSTRATOR,13 HTML instruments plus companion exports,state space; cut; residual; point/direction/curvature; return; khippu threads,orientation operators shown as browser-local instruments,YES,PARTIAL,MIXED_OUTPUT_AND_ILLUSTRATION,Arena or Observatory selected set,REGISTER,series index and validation records,Demonstration and illustration do not establish ontology.
VC-04,OEIS rope seam neon corpus,FIELD_ART,approximately 78 source artifacts,Report I-III; rope; seam; apertures; neon; n-bands; record/play,post-Report-III visual/operator vocabulary,PARTIAL,NO,PRIMARILY_ILLUSTRATES,Archive with curated Arena extracts,HOLD,bounded intake and source inventory,Glyph and color relations remain cartographic or mnemonic unless separately operationalized.
VC-05,Rödelheim selected operator plates,ARENA_CANDIDATE,selected subset from approximately 114 artifacts,cut/return diagrams; laboratory interfaces; operator maps,public-facing thought and comparison material,PARTIAL,PARTIAL,PRIMARILY_ILLUSTRATES,Arena,EXPOSE,Rödelheim index and translation audit,Selection requires claim ceilings and provenance labels.
VC-06,NEXAH Atlas reference corpus,ATLAS_REFERENCE,curated concept and case pages,map; scale; model; evidence; plate tectonics,reference and explanatory cartography,YES,PARTIAL,PRIMARILY_ILLUSTRATES,Atlas / Library,EXPOSE,public cases and library routes,Reference pages explain methods; they are not new empirical results.
VC-07,Rödelheim interactive lab sequence,OBSERVATORY_EXPERIMENT,HTML and JavaScript lab artifacts,local input; transform; compare; inspect residual,browser-local exploratory instrument family,YES,PARTIAL,PRODUCES_LOCAL_EXPLORATORY_OUTPUT,Observatory,REGISTER,source corpus inspection,Exploratory output is not validated evidence without declared fixtures and metrics.
VC-08,Builder Lab visual archive,ARCHIVE_TRACE,approximately 2300 files; about 341 MB in prior inventory,builders; renderings; historical prototypes,implementation archaeology and visual provenance,PARTIAL,PARTIAL,MIXED_OUTPUT_AND_ILLUSTRATION,Archive,ARCHIVE,Builder Lab inventory and reality check,Archive volume is not capability maturity.
VC-09,HTML/PNG counterpart and export variants,DUPLICATE_OR_SUPERSEDED,multiple related format pairs and variants,same concept across browser; export; screenshot forms,representation family tracking,NO,YES,ILLUSTRATES,Archive,ARCHIVE,intake inventories and hashes,Counterparts remain distinct artifacts even when conceptually duplicative.
VC-10,Missing sequence members and unresolved glyph forms,UNRESOLVED,4 named source HTML gaps plus mnemonic token families,missing declared sequence entries; glyph/operator ambiguity,coverage gap and nonclaim boundary,NO,UNKNOWN,ILLUSTRATES,Archive / unresolved ledger,MISSING,series validation and glyph ledgers,No operator identity is assigned without domain codomain and evidence.
VC-11,GLB clockwork builders,INSTRUMENT,2 GLB/STL outputs with builder scripts,deterministic geometry assembly and export,bounded artifact construction,YES,PARTIAL,PRODUCES_GEOMETRY_OUTPUT,Builder Lab / Observatory,REGISTER,builder sources and generated artifacts,Geometry generation is not a physical or ontological claim.
VC-12,Science Lab interactive case and protocol pages,OBSERVATORY_EXPERIMENT,multiple bounded case packages,pre-registration; run/replay; residual; evidence export,research workflow and protocol execution record,PARTIAL,YES,PRODUCES_BOUNDED_RESEARCH_OUTPUT,Observatory,HOLD,Science Lab package inventory,Closed tests remain closed; this review did not execute or reinterpret them.
VC-13,Screenshots and static visual exports,ARCHIVE_TRACE,PNG/SVG/screenshots across visual corpora,contextual views of instruments and diagrams,documentary context and visual genealogy,NO,YES,ILLUSTRATES,Archive / Atlas when curated,ARCHIVE,source inventories and format grouping,Screenshots are contextual evidence not canonical masters.
