claim_id,statement,status,authority,next_requirement
MCRO-001,"SOURCE != TEST != IMPLEMENTATION != VISUAL",CANONICAL_BOUNDARY,Source Court admission rule,retain
MCRO-002,"Anchor alone recovers orientation and scale",FROZEN_NEGATIVE,ROSC-E06 control,no promotion
MCRO-003,"Anchor plus declared frame recovers a synthetic similarity transform",VERIFIED_BOUNDED,ROSC-E06,real-source frame binding
MCRO-004,"50 reflected about 70 gives 90; 18x20 closes 360",VERIFIED_BOUNDED,ROSC-E07,retain HTML hash
MCRO-005,"Omega is a circle-boundary intersection",FROZEN_NEGATIVE,ROSC-E07 geometry,no promotion
MCRO-006,"Relations Through T is a computed transform pipeline",FROZEN_NEGATIVE,ROSC-E07 source audit,implement transforms separately
MCRO-007,"Building 33 is identified in supplied plan set",SUPPORTED_LIMITED,filenames plus visible F-33 annotations,archival provenance and scale
MCRO-008,"Building 35 and seven dwelling units are established",UNBOUND,owner statement,identified plans or official schedule
MCRO-009,"Stair has sixteen stages and therefore encodes 2^4",UNBOUND,owner candidate,independent tread inventory
MCRO-010,"81=3^4; 16=2^4; 19 is eighth prime",VERIFIED_ARITHMETIC,elementary arithmetic,independent predictive architectural binding
MCRO-011,"Bodenehr 1716 map object identity",CATALOG_SUPPORTED,OldMapsOnline screenshot plus catalog metadata,obtain map master
MCRO-012,"head/tooth fl|us Rebstock marker grammar",FROZEN_NOT_SCORED,owner annotation,georeference and matched controls
MCRO-013,"35+34=69; 31+29=60; 26+24=50",VERIFIED_ARITHMETIC,elementary arithmetic,separate spatial and causal tests
MCRO-014,"Foreground gate visibly faces facade 34",SUPPORTED_LIMITED,viewpoint photograph,bind gate independently to address 35
MCRO-015,"Panorama target shift follows changing device heading",VERIFIED_FROM_DISPLAYED_VALUES,ROSC-E09,calibrated same-view capture
MCRO-016,"A physical sphere or hidden external point rises",NOT_DEMONSTRATED,ROSC-E09 projection audit,physical measurement protocol
MCRO-017,"Ghost Grid is a shared reference/projection layer",ARCHITECTURAL,prior Mission Control decision plus current synthesis,typed prototype only if authorized
MCRO-018,"Ghost Grid is a hidden physical force or sensor",NOT_DEMONSTRATED,claim boundary,no promotion
MCRO-019,"Violin plot and water-tower/amphora form are identical",MORPHOLOGICAL_ONLY,visual comparison,predeclared shape metric and controls
MCRO-020,"Dome rings plates flat map and tiles can be related by declared transforms",CONCEPTUAL_WITH_STANDARD_MATH,Step-10 synthesis,implement exact transform chain
MCRO-021,"Rotation alone turns continents into lines or cubes",FROZEN_NEGATIVE,representation distinction,projection and discretization required
MCRO-022,"Angular antipode is (A+180 mod 360,-h)",VERIFIED_DEFINITION,spherical angular coordinates,declare coordinate convention
MCRO-023,"Memory is an ordered retained-record layer",WORKING_DEFINITION,Step-10 synthesis,bind update operator and record schema
MCRO-024,"X-Perience update equations are a physical law",NOT_CLAIMED,conceptual working grammar,preregistered model and external test
MCRO-025,"Three copperplate visuals are scientific evidence",CONCEPTUAL_ONLY,generated visual ledger,never promote without independent data
