claim_id,date_as_stated,normalized_date,person_or_institution,claimed_event,date_type,source_present,primary_source_verified,historical_status,relevance_to_LQE,notes
DL-001,aktuellen NEXAH-/Science-Lab-Bestand,UNANCHORED_RELATIVE,NEXAH,Repository state described as current,METAPHORICAL_OR_UNTYPED_DATE,YES,NOT_APPLICABLE,UNVERIFIED,MEDIUM,No calendar anchor.
DL-002,1 Julian year = 365.25 days,P365.25D,IAU,Julian-year conventional duration,CONVENTION_ADOPTION_DATE,YES,YES,VERIFIED,HIGH,Period not event date; IAU 1976 supplies external adoption context.
DL-003,"1 day = 86,400 SI seconds",PT86400S,IAU/BIPM,Day used as exactly 86400 seconds,CONVENTION_ADOPTION_DATE,YES,YES,VERIFIED,HIGH,Period not event date.
DL-004,"1 Julian year = 31,557,600 SI seconds",PT31557600S,IAU/BIPM,Arithmetic Julian-year conversion,CONVENTION_ADOPTION_DATE,YES,YES,VERIFIED,HIGH,Derived from 365.25 × 86400.
DL-005,1 AU / c ≈ 499.004783836 s,PT499.004783836S,IAU/BIPM,Derived nominal light-time,METAPHORICAL_OR_UNTYPED_DATE,YES,YES,VERIFIED,HIGH,Duration not experiment date.
DL-006,1 light-year = c × 1 Julian year,ORDERED_DEFINITION,IAU/BIPM,Julian light-year definition,CONVENTION_ADOPTION_DATE,YES,YES,VERIFIED,HIGH,Definition not empirical chronology.
DL-007,PERIOD P = TIME,PERIOD_TYPED_AS_TIME,N/A,Period typed as time,METAPHORICAL_OR_UNTYPED_DATE,YES,NOT_APPLICABLE,NOT_A_DATE,MEDIUM,Type declaration.
DL-008,f = 1/P; ω = 2π/P; φ(t) = ωt + φ₀,PERIOD_PHASE_RELATIONS,N/A,Period and phase relations,METAPHORICAL_OR_UNTYPED_DATE,YES,NOT_APPLICABLE,NOT_A_DATE,MEDIUM,Formal relations.
DL-009,Rømer-type timing experiment,DATE_NOT_STATED,Ole Rømer,Historical-method analogy without date,METAPHORICAL_OR_UNTYPED_DATE,YES,NO_DATE_TO_VERIFY,UNVERIFIED,HIGH,Observation and publication dates unstated.
DL-010,"Δt_k = t_receiver,k - t_source,k",SOURCE_BEFORE_RECEIVER_ORDERING,N/A,Ordered source/receiver interval,METAPHORICAL_OR_UNTYPED_DATE,YES,NOT_APPLICABLE,NOT_A_DATE,HIGH,Event-order equation.
DL-011,31+23,UNTYPED_NUMERIC_MARKER,N/A,Pattern for decomposition,METAPHORICAL_OR_UNTYPED_DATE,YES,NOT_APPLICABLE,NOT_A_DATE,LOW,Prompt marker.
DL-012,365.54,UNTYPED_NUMERIC_MARKER,N/A,Pattern for decomposition,METAPHORICAL_OR_UNTYPED_DATE,YES,NOT_APPLICABLE,NOT_A_DATE,LOW,Not asserted as date/year.
