component,ecosystem_location,source_authority,scientific_domain,current_formal_status,implementation_status,test_status,current_capability,missing_dependency,candidate_integration_role,expected_effect,evidence_class,claim_ceiling,recommended_action
Human Authority,GOVERNANCE/01_HUMAN_AUTHORITY_PROTOCOL.md,local_governance_protocol,human_authority,B_FORMAL_NOT_IMPLEMENTED,protocol_only,not_runtime_tested,"Owns intention; target; tolerances; decision; STOP",runtime_binding,authority_boundary,prevents_inferred_approval,B_FORMAL_NOT_IMPLEMENTED,governance_only,retain_unchanged
OLS semantic operators,MISSION_01_NEXAH_OLS_CANONICAL_SPEC_AND_AUDIT/01_CANONICAL_OPERATOR_INVENTORY.md,local_canonical_spec,semantic_operations,B_FORMAL_NOT_IMPLEMENTED,specification_only,operator_audit_only,"Observe; transform; compare; validate; record; gate",neuromechanical_types,audit_envelope,typed_traceability,B_FORMAL_NOT_IMPLEMENTED,not_mechanics_or_neuroscience,bind_by_reference
ORION structural core,TITAN00_NEXAH_TOTAL_SYSTEM_INVENTORY/15_TITAN00_FINAL_DECISION.md,certified_local_inventory,structural_computation,A_FORMAL_AND_IMPLEMENTED,implemented_bounded_core,certified_existing_tests,deterministic_structural_chain,neuromechanical_contract,provenance_context,no_direct_performance_effect,A_FORMAL_AND_IMPLEMENTED,no_core_expansion,do_not_modify
Mechanical three-body plant,NEXAH_TIME_DEPENDENT_COUPLING_FORMALIZATION_REVIEW_2026-09-09,hash_locked_completed_review,multibody_mechanics,B_FORMAL_NOT_IMPLEMENTED,not_implemented,test_spec_only,"BODY to ARMS to CLUB; contact; release; work ledger",control_and_observation_layer,frozen_plant,mechanical_trace_basis,B_FORMAL_NOT_IMPLEMENTED,synthetic_only,reference_unchanged
Observer Return grammar,FIELD_FORM_OBSERVER_RETURN_BINDER_AUDIT_2026-08-24/03_FIELD_FORM_OBSERVER_RETURN_GRAMMAR.md,local_bounded_audit,observation_and_return,B_FORMAL_NOT_IMPLEMENTED,documentation_contract,documentation_audit,"Observer frame; representation; compare; return",sensor_channel_and_delay_binding,observation_schema,auditable_return,B_FORMAL_NOT_IMPLEMENTED,no_universal_law,adapt_only_in_new_spec
Residual Return grammar,NEXAH_RELATIONAL_DESCRIPTION_LANGUAGE_CANDIDATE_2026-09-04/11_RESIDUAL_AND_RETURN_GRAMMAR.md,local_candidate_spec,residual_provenance,B_FORMAL_NOT_IMPLEMENTED,not_implemented,not_executed,"Residual and return relation",trial_revision_law,next_trial_record,explicit_error_lineage,B_FORMAL_NOT_IMPLEMENTED,no_causal_promotion,bind_as_record_grammar
THE EYE current interface,NRDL_IFR01_PRODUCTION_INTERFACE_REVIEW_2026-09-04/04_THE_EYE_CURRENT_INTERFACE.md,local_reviewed_interface,visual_projection,C_DOCUMENTARY_OR_VISUAL_NOT_FORMALIZED,closed_synthetic_demos,demo_tests_only,visual presentation,observer_frame_and_return_contract,optional_display,none_on_physics,C_DOCUMENTARY_OR_VISUAL_NOT_FORMALIZED,display_not_measurement,do_not_use_as_sensor_evidence
THE EYE projection profile,NRDL_TAR01_ORION_EYE_TARGET_ARCHITECTURE_REVIEW_2026-09-04/08_THE_EYE_PROJECTION_PROFILE_CANDIDATE.md,unimplemented_noncanonical_candidate,observer_projection,B_FORMAL_NOT_IMPLEMENTED,not_implemented,not_executed,proposed projection fields,authorization_and_interface_contract,optional_future_projection,auditable_view_binding,B_FORMAL_NOT_IMPLEMENTED,projection_only,leave_optional
NEXAHEDRON,REPOSITORY_ORIENTATION_PILOT_A1_A2/06_NEXAHEDRON_BASELINE.md,local_live_component,human_facing_interaction,A_FORMAL_AND_IMPLEMENTED,implemented_existing_scope,existing_product_tests,presentation and transient state,authorized_neuromechanical_view,optional_presentation,human_readability,A_FORMAL_AND_IMPLEMENTED,no_intention_inference,no_change
Rödelheim projections,NEXAH_TRANSLATION_AUDIT_REPORT_01/FROZEN_CHAIN/01_ROEDELHEIM_SOURCE/ROEDELHEIM_OBSERVATORY_THREAD_LOOM_PROJECTION_LAB_0_4.md,frozen_local_source,multi_view_representation,B_FORMAL_NOT_IMPLEMENTED,controlled_synthetic_document,machine_tests_reported,"Multiple views of common records",body_frame_measurement_binding,projection_separation,prevents_view_identity_error,B_FORMAL_NOT_IMPLEMENTED,projection_not_causality,reference_boundary
