field_or_stage,"Prime/CRT exact-address profile","NBV/Neon visibility-layer profile",shared_core_decision
carrier_state,"N=10537 with exact residue fingerprint over moduli 7,11,13,19,20,29,37","frozen 128x128 synthetic scalar field and ground-truth masks","BOTH_BINDABLE_DISTINCT_CARRIER_TYPES"
frame,"CRT_FINGERPRINT_FRAME","Cartesian 128x128 grid plus polar-disk representation route","BOTH_DECLARED_PROFILE_LOCAL"
aperture_or_cut,"persistent address cut such as N10537:MOD13 or declared residue subset","band threshold/window and Cartesian→disk selection route","BOTH_BINDABLE_AS_SELECTION_NOT_ONTOLOGY"
persistent_address,"explicit address field N10537:MODm; fail-closed wrong/missing-address controls","pixel/grid coordinate and named feature-mask identity; production identity contract absent","PRIME_STRONG_NBV_PARTIAL"
Q_T_R_route,"QRTp_MIN_0.1 cut/hold/return; full and held return records","Cartesian→disk→Cartesian plus band representation and comparison","BOTH_HAVE_BOUNDED_ROUTES_DIFFERENT_MECHANISMS"
observation,"returned residue items with units and status","per-band I/L/A/U counts, retention, loss, false-gate, unresolved and feature metrics","BOTH_MEASURED"
ILAU,"CASE_1 exact I for seven moduli; CASE_2 six I plus U=MOD_13; A/L empty","B5 I=1045 L=77 A=0 U=25; C_EQUAL I=1066 L=60 A=0 U=21 under frozen audit","BOTH_EXACT_PACKAGE_LOCAL_UNIVERSES"
typed_residual,"aggregate 0 over comparable returned residues; open U remains and forces HOLD in held cases","base mapping normalized L1=0.276692027448; B5 visibility residual=0.231453800172; C_EQUAL=0.158605529749","ZERO_AGGREGATE_NEVER_ERASES_OPEN_U"
return_decision,"full vector PASS; held/open-U cases HOLD under QRTp package rule","multiband benefit NOT_ESTABLISHED; no production return tolerance/route contract","DECISION_RULES_REMAIN_PROFILE_LOCAL"
provenance,"synthetic CRT_ELEVATOR_GATE_01; QRTp reference hash and view hashes recorded","seed 20260904; deterministic run/replay; source artifacts and metrics preserved","BOTH_STRONG_LOCAL_PROVENANCE"
NRRC_K_gamma,"P can denote a discrete address but D,C,Phi are not defined by the QRTp evidence; filling them would invent semantics","P/D/C can be derived only with an approved trace extractor; Phi is not recorded as a common trace component; S is grid scale","NOT_COMPLETE_WITHOUT_NEW_TYPED_PROFILE_RULES"
CRIC_fit,"strong: carrier/view/address/Q-T-R/observation/reconstruction/residual/ILAU/receipt concepts align","strong structurally, but a dedicated NBV adapter/profile and exact production field identity remain absent","CRIC_IS_SMALLEST_SHARED_EXECUTION_SPINE"
Neon_or_color,"optional display metadata only","visibility encoding with low/optimal/high thresholds; status remains independent","CARTOGRAPHY_NOT_SEMANTICS"
THE_EYE_fit,"requires a new namespaced projection; current closed A2 demonstrations do not ingest this profile","EYE-2 partial; missing approved carrier/frame, band contract, status mapping and residual contract","DISPLAY_INTEGRATION_NOT_READY"
scientific_claim,"exact arithmetic and method behavior only; no new number theory","deterministic synthetic visibility result; no external validation or multiband benefit","NO_SHARED_CAUSAL_OR_PHYSICAL_MECHANISM_CLAIM"

