record_id,exact_path,filename,sha256,matched_expression,source_context,date_if_explicit,authority_status,mathematical_role,evidential_ceiling
SRC-001,/Users/tho2020/.codex/attachments/9dcfb68c-c80e-4230-8366-872f44830c68/pasted-text.txt,pasted-text.txt,41b75c85f89e2a580df65ce8cc5c76d59ae0fe045537308fd8668f576ab53abd,7×12×17; 1428; 14 28 56; 392; nat ≈ 0.456,Owner-supplied audit candidates and required boundaries,2026-09-09,CURRENT_TASK_AUTHORITY,"Candidate definitions, not historical evidence",NEW_ANNOTATION
SRC-002,/Users/tho2020/Documents/NEXAH ECOSYSTEM/30 SCIENCE LAB/NEXAH-Science-Lab/SCIENCE_LAB/CASE_STUDIES/DESK10_CRT_SHADOW_OTHER_SIDE_INVOLUTION_AUDIT_2026-09-09/10_FINAL_DECISION.md,10_FINAL_DECISION.md,d805eebeb1bd9c4a087a1855987fef2c91ae0cf3eb37c530e79a4af873ed54ef,CRT_MULTI_REGISTER_RETURN_CONFIRMED; 31000,Completed predecessor decision,2026-09-09,COMPLETED_ADDITIVE_AUDIT,Prior binding only,SOURCE_DOCUMENTED
SRC-003,/Users/tho2020/Documents/NEXAH ECOSYSTEM/30 SCIENCE LAB/NEXAH-Science-Lab/SCIENCE_LAB/CASE_STUDIES/DESK10_CRT_SHADOW_OTHER_SIDE_INVOLUTION_AUDIT_2026-09-09/CRT_SHADOW_RESULTS.json,CRT_SHADOW_RESULTS.json,3bd0d5fc723993172f47a097b247e0d2ae4ecb4a1cc73aff7271daf536dc37f5,"31000; (31,1000); shadow operator",Machine-readable predecessor results,2026-09-09,COMPLETED_ADDITIVE_AUDIT,Prior binding only,SOURCE_DOCUMENTED
SRC-004,/Users/tho2020/Desktop/00_INCOMING/OEIS LOGIK/report I/EULER_HEPTAGON_ORIGIN_VIEW_MAP.svg,EULER_HEPTAGON_ORIGIN_VIEW_MAP.svg,2daab67f0be2e2419d38581020f9d6ecd9e03aee8c4cfdd8095c259c43318d9a,ℤ₇ VIEW; ±1 · ±2 · ±3 mod 7,Explicit seven-state visual with modular labels,,INCOMING_VISUAL,mod-7 circle/heptagon example only,SOURCE_VISUAL_ONLY
SRC-005,/Users/tho2020/Desktop/00_INCOMING/OEIS LOGIK/report II/Hear_the_Shadow_Musical_Mastervisual.html,Hear_the_Shadow_Musical_Mastervisual.html,79a0fce5968061ccd5b393b5ce9660dafaff37d0a5abc1e7c8434d5b47925416,7 + 5 = 12 PITCH CLASSES; 12 equal steps; octave,Explicit music-theory visual and frequency formulas,,INCOMING_VISUAL,mod-12 candidate context; no CRT 7-12-17,SOURCE_VISUAL_ONLY
SRC-006,/Users/tho2020/Desktop/00_INCOMING/OEIS LOGIK/report I/Six_Seven_Return_Wheel.html,Six_Seven_Return_Wheel.html,74058b916f1fac5a3136ab508d0d3d35c59c5626aaa632340af6dad9d000fca6,"6↔7 return wheel; lcm(6,7)=42",Explicit cyclic return demonstrator,,INCOMING_INTERACTIVE_VISUAL,separate mod-6/mod-7 system,SOURCE_DOCUMENTED
SRC-007,/Users/tho2020/Desktop/00_INCOMING/SCx33_BBi_aka_BOKI_review/GLB 2/Music_Orbit_Resonance_Lab.gltf,Music_Orbit_Resonance_Lab.gltf,463d9eec42b6e23265c15a2d8531cf73ebbee3a55f5e9877e9bde877f5a572b2,Music↔Orbit — Resonance Lab,Ratio-to-radius visualization with declared mapping,,INCOMING_3D_ARTIFACT,not CRT and not 7-12-17,SOURCE_DOCUMENTED
SRC-008,/Users/tho2020/Desktop/00_INCOMING/MRB TESTSERIE/MRB07_PRIME_INDEX_EXPONENT_LATTICE/MRB07_RESULTS.json,MRB07_RESULTS.json,80c7f65748948c171e757770bc92a1ab59024cff31a9012ad0284c658ff1d1d8,1428,balance_delta for one MRB row,,INCOMING_TEST_RESULT,incidental value; not carrier,SOURCE_DOCUMENTED
SRC-009,/Users/tho2020/Documents/NEXAH ECOSYSTEM/30 SCIENCE LAB/NEXAH-Science-Lab/00_INCOMING/THE_PRIME_GENESIS_DUAL_GENERATOR_RETURN_GATE_01_2026-09-08/08_SIX_K_CENTER_CLASSIFICATION.csv,08_SIX_K_CENTER_CLASSIFICATION.csv,0dbb14bec0c89aba63cacde6d0da3a13f83b117be4565bbf6c7cee95c757bb6f,1428,row/index and center value occurrences,2026-09-08,SCIENCE_LAB_INCOMING_RESULT,incidental value; not carrier,SOURCE_DOCUMENTED
SRC-010,/Users/tho2020/Documents/NEXAH ECOSYSTEM/00 EXECUTIVE/NEXAH-Mission-Control/REVIEWS/DESK10_INCOMING_AUDITS_2026-09-01/CRT_11357_AUDIT/03_CLAIMS_EVIDENCE_MATRIX.md,03_CLAIMS_EVIDENCE_MATRIX.md,a81d894a218260a54cb3ba641cd0b57aecdb2090b7f14a1644b4da45479f5276,0.429+0.456+0.487=1.372,Prior audit classifies reproduced sum and unsupported physical interpretation,2026-09-01,MISSION_CONTROL_AUDIT,boundary evidence,SOURCE_DOCUMENTED
SRC-011,/Users/tho2020/Documents/NEXAH ECOSYSTEM/00 EXECUTIVE/NEXAH-Mission-Control/REVIEWS/DESK10_INCOMING_AUDITS_2026-09-01/CRT_11357_AUDIT/evidence_extracts/GEMINI__2d983b15104d__crt-nexah-resonance-audit-v4.pdf.txt,GEMINI__2d983b15104d__crt-nexah-resonance-audit-v4.pdf.txt,0ec9ad233b5242694692fb0ee33d44a63c384ac21d9a599fbef772ce6ad07c6f,Band 2 (0.456 - The Mid-Band),Visual/report label with descriptive claim but no generating formula,,LEGACY_EXTRACT,0.456 label only,SOURCE_VISUAL_ONLY
SRC-012,/Users/tho2020/Documents/NEXAH ECOSYSTEM/30 SCIENCE LAB/NEXAH-Science-Lab/NEXAH_PHI_FOURIER_ENTROPY_SOURCE_FORENSICS_2026-09-09/FINAL_RETURN.md,FINAL_RETURN.md,69daeb89a09ce47fd5ccff3f7eed4cd2250d4b4c2ffd3f66bb90e20502c6d9e5,H=3.983066194892531 nats,Independent normalized 8x8 Shannon calculation,2026-09-09,COMPLETED_ADDITIVE_AUDIT,distinct entropy result,SOURCE_DOCUMENTED
SRC-013,,NOT_LOCATED,,CRT circle; Z_1428,No pre-audit exact source located,,SEARCH_RESULT,new standard formalization,NOT_LOCATED
SRC-014,,NOT_LOCATED,,Z_392; 14→28→56; 14×28=392,No pre-audit exact source located,,SEARCH_RESULT,new standard formalization,NOT_LOCATED
SRC-015,,NOT_LOCATED,,Resonance Key Sheet; Heptagon Flower; 7-gon; 12-gon; 17-gon,No exact named record located,,SEARCH_RESULT,none,NOT_LOCATED
SRC-016,,NOT_LOCATED,,nat ≈ 0.456,"No formula, distribution, log base, or normalization located",,SEARCH_RESULT,unbound label,NOT_LOCATED
