capability_id,name,plain_language_purpose,primary_user,user_problem,input,transformation,output,human_role,nexah_stage,current_location,entry_point,supporting_artifacts,implementation_status,test_status,integration_status,public_access_status,evidence_strength,known_limitations,primary_residual,distinctive_value,dependency,overlap_or_duplicate,recommended_home,priority,recommended_action
CAP-01,"Multi-view intake and frame declaration","Declare what is being compared and from which bounded view","Human researcher or analyst","Sources and views are mixed before comparison","Views, sources, frame, cut, aperture, scope","Human-guided declaration and source typing","Bounded intake/frame record","Declare scope, relations and exclusions","RECEIVE|ORIENT","NEXAH framework; Science Lab; NEXAHEDRON","Public Workspace for Human text; otherwise documented protocols","OLS; NRDL; intake packages; Workspace screens","DOCUMENTED_AND_PARTLY_EXECUTABLE","Bounded examples and interface tests; no generic intake test","PARTIAL_ACROSS_MULTIPLE_SYSTEMS","PUBLIC_FOR_HUMAN_TEXT_ONLY","MODERATE","No common multi-format intake, upload or cross-system schema","Unbound source identity and frame ambiguity","Prevents comparison before frame and source roles are declared","OLS vocabulary; Human declaration; system-specific adapters","Overlaps CAP-07 adapters and CAP-12 Workspace but owns declaration","NEXAH Framework plus capability-specific adapters","HIGH","P1 — EXPOSE_NOW"
CAP-02,"ILAU sealed representation comparison","Classify retained, lost, added and unresolved relations","Technical reviewer or bounded comparison operator","A simple diff hides the type and status of change","Two sealed ordered-relation records plus alignment and criterion","A2 validates, aligns, partitions I/L/A/U and preserves residuals","Canonical JSON, Markdown projection and decision state","Select declared criterion and interpret the bounded result","COMPARE|PRESERVE|DECIDE","Mission Control THE EYE A2/A3/A4 packages; NEXAHEDRON THE EYE source","Local sealed demonstrator only","A2 closeout; six A3/A4 demonstrations; A6 package","EXECUTABLE_AND_INTEGRATED_INTERNAL","Rust/Python parity, negative controls and sealed demos passed in recorded gates","INTEGRATED_INTERNAL_WITH_THE_EYE","NOT_PUBLIC; /the-eye returned 404","STRONG","Closed profile; six fixed demos; not arbitrary material or scientific validation","No approved public comparison profile or intake route","Makes loss, addition, unknowns and residuals explicit without forcing identity","Sealed records; A2 contract; Human claim boundary","Partly overlaps CAP-03 and CAP-15","THE EYE behind a governed upstream record boundary","VERY_HIGH","P3 — INTEGRATE_LATER"
CAP-03,"Residual and ReturnTest recording","Keep mismatch visible and test a declared bounded return","Research operator or contract consumer","Similarity is mistaken for identity or closure","Source/target states, mapping, metric, tolerance and component residuals","Compute or record residual components and compare with a declared rule","Residual vector, return status and nonclaim","Choose metric/tolerance and authorize interpretation","COMPARE|PRESERVE|DECIDE","Science Lab cases; A2; NRRC P4A; NEXAH methods","No single public entry; fixture and case-local tools","ReturnTest cases; NRRC schema/validator; ILAU intake","EXECUTABLE_IN_BOUNDED_PROFILES","Multiple closed cases and P4A consistency tests","PARTIAL_PROFILE_SPECIFIC","NOT_PUBLIC_AS_GENERAL_TOOL","STRONG","Metric relevance and tolerance remain case-specific","Residual may be preserved but not meaningful for the user problem","Separates local return from global identity and preserves failure detail","Declared mapping, metric, tolerance and provenance","Overlaps CAP-02; CAP-16 carries candidate neutral record","Neutral relation-record contract plus owning processor","VERY_HIGH","P1 — EXPOSE_NOW"
CAP-04,"Provenance, manifest and release-pin verification","Bind outputs to exact sources, versions and bytes","Maintainer, reviewer or research operator","Results drift from their inputs and software revisions","Files, manifests, repository revisions and declared dependencies","SHA-256, canonicalization, pin checks, fail-closed validation","Verified manifest, mismatch diagnostic or custody record","Approve sources and act on mismatch; hashes do not decide truth","PRESERVE|DECIDE","All core repositories; Mission Control; Science Lab","Repository commands and package manifests; no unified public view","OLS/ORION release manifests; NEXAHEDRON dependency checks; Lab manifests","EXECUTABLE_AND_WIDELY_USED_INTERNAL","Extensive recorded manifest and pin checks","INTEGRATED_ACROSS_INTERNAL_WORKFLOWS","PUBLIC_AS_DOCUMENTATION_NOT_ONE_FEATURE","STRONG","Cross-repository pins can diverge; heterogeneous formats","No consolidated cross-system provenance view","Provides exact byte/revision lineage and explicit fail-closed behavior","Stable source identity and hashing conventions","Foundation for CAP-02, CAP-10, CAP-15, CAP-16, CAP-17","Cross-system provenance registry owned by existing authorities","VERY_HIGH","P1 — EXPOSE_NOW"
CAP-05,"Claim Ceiling and Human Authority gates","Keep decisions, tolerances and claims with named Humans","Owner, reviewer and public participant","Machine output is mistaken for authorization or truth","Machine result, uncertainty, claim ceiling and gate state","Separate machine record from Human confirmation, STOP or continuation","Authorized claim, hold, rejection, Rest or STOP record","Declare frame, metric, tolerance, meaning and action","ORIENT|PRESERVE|DECIDE","NEXAH governance; Mission Control; Science Lab; NEXAHEDRON; THE EYE","Public confirmation/Rest controls plus internal gate records","Constitution; OLS; Workspace; Lab decisions; THE EYE boundaries","INTEGRATED_INTERNAL_AND_PUBLICLY_VISIBLE","Interface, governance and closure records","INTEGRATED_ACROSS_MULTIPLE_SYSTEMS","PUBLICLY_VISIBLE_IN_NEXAHEDRON","STRONG","Roles and next actions are not uniformly discoverable","Human bottleneck and inconsistent decision handoff","Prevents consumer/display layers from becoming scientific or record authority","Governance and explicit role assignments","Cross-cutting control rather than duplicate of any processor","NEXAH governance and every output interface","VERY_HIGH","P1 — EXPOSE_NOW"
CAP-06,"Orientation Language Specification 1.0","Provide governed semantics for bounded orientation records and operations","Implementer, researcher and reviewer","Different systems use orientation terms inconsistently","Declared concepts, relations, operators and profiles","Normative specification and conformance rules","Versioned semantic requirements and informative guidance","Adopt and govern semantics; conformance must be demonstrated","ORIENT|COMPARE|PRESERVE","NEXAH ORIENTATION_LANGUAGE","Public repository release and reader guide","OLS-RELEASE-1.0.0; release manifest; traceability indexes","PUBLISHED_SPECIFICATION","Release checks and conformance materials; not runtime behavior","SEMANTIC_AUTHORITY_USED_BY_MULTIPLE_SYSTEMS","PUBLIC_DOCUMENTATION","STRONG","Documentation cannot establish implementation or domain truth","Uneven implementation mapping across components","Stable identifiers and explicit authority between semantics and implementations","NEXAH governance and release unit","Supports all record capabilities; no software duplication","NEXAH Orientation Language subsystem","HIGH","P1 — EXPOSE_NOW"
CAP-07,"NEXAH Kernel and source adapters","Turn declared structured inputs into typed orientation records and analyses","Python developer or analyst","Data needs a bounded deterministic processing path","Arrays, tables, graphs, trajectories and IEEE sources","Typed adapters, structural extraction, reports and probes","OrientationState, OrientationReport, briefs and structured results","Choose domain/frame and interpret within limits","RECEIVE|ORIENT|COMPARE|PRESERVE","NEXAH nexah/ package","nexah CLI and package documentation","pyproject; package README; tests; reference applications","EXECUTABLE_TESTED_STANDALONE","Contract, adapter and application suites recorded; current version 0.7","INTEGRATED_WITH_NEXAH_APPLICATIONS","PUBLIC_SOURCE_TECHNICAL_USE","STRONG","Not one stable production runtime; narrow domain validation","General input semantics and calibrated uncertainty absent","Typed evidence-bound records with explicit unknowns and provenance","Python environment and declared dependencies","Base for CAP-08 and CAP-09; distinct from certified ORION","NEXAH implementation subsystem","HIGH","P1 — EXPOSE_NOW"
CAP-08,"Network Orientation CLI and briefs","Inspect graph topology, paths, bottlenecks and several read-only perspectives","Technical analyst or developer","A network representation is hard to inspect from one view","Declared node-edge graph, focus and optional target/baseline","Canonical graph adaptation, reachability, paths, comparison and probes","JSON/text report and Markdown/JSON brief","Choose focus/target and avoid domain conclusions beyond topology","RECEIVE|ORIENT|COMPARE|PRESERVE","NEXAH Applications/network_orientation and Kernel","nexah orient-network CLI","V1/V2 validations; network fixtures; focused tests","EXECUTABLE_TESTED_STANDALONE","Byte replay and focused application tests recorded","INTEGRATED_WITH_KERNEL_NOT_PUBLIC_WORKSPACE","PUBLIC_SOURCE_CLI_ONLY","STRONG","Synthetic/illustrative fixtures; no real-world utility evidence","No nontechnical or hosted entry point","Combines multiple topology views with bounded briefs and provenance","CAP-07 Kernel and graph adapter","Overlap with general graph libraries; distinctive value is audit framing","NEXAH Applications","HIGH","P2 — VALIDATE_WITH_USER"
CAP-09,"IEEE Geometry benchmark orientation","Create failure-preserving geometric views of frozen IEEE benchmark cases","Power-systems research user","Benchmark behavior and representation loss need explicit audit","Frozen IEEE-9/14 manifests and benchmark frames","Adapter, measures, probes, comparison and brief generation","Geometry records, insufficiencies, validation summary and brief","Set benchmark claim boundary and retain misses","RECEIVE|ORIENT|COMPARE|PRESERVE","NEXAH Applications/power_systems and validation","Repository scripts and documentation","IEEE V1 validation record; tests; frozen manifests","EXECUTABLE_TESTED_STANDALONE","Deterministic benchmark gate and held-out miss recorded","INTEGRATED_WITH_KERNEL_RESEARCH_ONLY","PUBLIC_SOURCE_TECHNICAL_USE","STRONG","Simulation/benchmark only; no operational grid, causality, risk or control claim","Domain review, breadth and outcome evidence absent","Preserves failures and limitations across benchmark representations","CAP-07 plus pandapower test dependency and frozen data","Overlaps generic power-system analysis; NEXAH value is provenance and view audit","NEXAH Applications/Research","MEDIUM","P4 — HOLD_AS_RESEARCH"
CAP-10,"ORION certified structural processing","Produce immutable, revision-bound structural orientation artifacts","Developer, reviewer or downstream consumer","Structural orientation needs deterministic replay and explicit scope","Accepted structured Representation","Certified UNDERSTAND, Summary, Statistics, Relations, Navigation, Orientation Map and Expression stages","Immutable certified artifacts, provenance and STOP state","Supply admissible input and interpret outside ORION","ORIENT|COMPARE|PRESERVE","NEXAH-ORION certified V1 repository","Python package, proof scripts and public source repository","V1 certified baseline; Slice II-IV proofs; tests","EXECUTABLE_CERTIFIED_STANDALONE","Certification proofs and extensive tests recorded","STANDALONE_CORE_WITH_DOWNSTREAM_CONSUMERS","PUBLIC_SOURCE_NOT_HOSTED_PROCESSOR","STRONG","No target Representation generation; no general transition; no Human meaning or scientific validity","No maintained public processor service or broad intake","Deterministic certified artifacts without fluent hidden inference","Pinned NEXAH Core and certified input contracts","Distinct from CAP-11 historical Runtime/Gateway","NEXAH-ORION certified Core","VERY_HIGH","P1 — EXPOSE_NOW"
