item,decision,bounded_deliverable,required_input,authorization_status,completion_condition
further free number-pattern searches,STOP,none,none,NOT_AUTHORIZED,remain closed
additional legacy visual intake,HOLD,explicit future source-bound intake only,named immutable artifacts and scope,NOT_AUTHORIZED,new bounded mandate
prime-index anagram analysis,STOP,none,none,NOT_AUTHORIZED,remain closed
biological cicada/scarab analogy,STOP,none,independent biological model/data,NOT_AUTHORIZED,not in present portfolio
physical Lagrangian development,HOLD,mechanical gate after plant binding,"q,Q,t,velocities,T,V,units,boundaries,data",NOT_AUTHORIZED,all Lagrange fields and plant executable
discrete operator formalization,PROCEED,shared typed operator interface for three demos,frozen demo contracts,AUTHORIZED_BY_THIS_SYNTHESIS_ONLY_AS_SPECIFICATION,schemas validate and replay fixtures pass
three-demonstrator prototype,PROCEED,one bounded local prototype,three frozen demonstrator specs,IMPLEMENTATION_REQUIRES_SEPARATE_AUTHORIZATION,three demos execute with claim ceilings visible
public outreach,HOLD,one-page/demo release,completed bounded prototype and review,NOT_YET_AUTHORIZED,prototype acceptance and human release decision
mechanical-plant implementation,HOLD,bounded synthetic plant,frozen plant spec and owner authorization,NOT_AUTHORIZED,executable model plus validation
empirical measurement work,HOLD,preregistered measurement run,"calibrated apparatus, chain, uncertainty, authorization",NOT_AUTHORIZED,complete A-B1-B2-C-T-K-U-R evidence
