ranking_view,rank,capability_id,capability_name,USER_NEED,DISTINCTIVE_VALUE,CURRENT_MATURITY,EVIDENCE_STRENGTH,INTEGRATION_EFFORT_INVERSE,PUBLIC_EXPLAINABILITY,STRATEGIC_FIT,weight_profile_in_field_order,weighted_score,maximum_score,priority_action,rationale
PRACTICAL_VALUE,1,CAP-12,NEXAHEDRON bounded Human Workspace,3,3,3,3,3,3,3,3:2:2:2:2:3:2,48,48,P2 — VALIDATE_WITH_USER,Scores are evidence-based; corpus volume and visual complexity are excluded.
PRACTICAL_VALUE,2,CAP-13,Curated reference cases,3,2,3,3,3,3,3,3:2:2:2:2:3:2,46,48,P2 — VALIDATE_WITH_USER,Scores are evidence-based; corpus volume and visual complexity are excluded.
PRACTICAL_VALUE,3,CAP-14,NEXAH public Library and Living Atlas,3,2,3,3,3,3,3,3:2:2:2:2:3:2,46,48,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
PRACTICAL_VALUE,4,CAP-04,"Provenance, manifest and release-pin verification",3,3,3,3,3,2,3,3:2:2:2:2:3:2,45,48,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
PRACTICAL_VALUE,5,CAP-17,Science Lab execution and closure governance,3,3,3,3,3,2,3,3:2:2:2:2:3:2,45,48,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
PRACTICAL_VALUE,6,CAP-02,ILAU sealed representation comparison,3,3,3,3,2,2,3,3:2:2:2:2:3:2,43,48,P3 — INTEGRATE_LATER,Scores are evidence-based; corpus volume and visual complexity are excluded.
PRACTICAL_VALUE,7,CAP-05,Claim Ceiling and Human Authority gates,3,3,3,3,2,2,3,3:2:2:2:2:3:2,43,48,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
PRACTICAL_VALUE,8,CAP-21,"Archive, custody and genealogy management",3,3,3,3,2,2,3,3:2:2:2:2:3:2,43,48,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
PRACTICAL_VALUE,9,CAP-22,Orientation Translation and evidence synthesis,3,3,3,3,2,2,3,3:2:2:2:2:3:2,43,48,P2 — VALIDATE_WITH_USER,Scores are evidence-based; corpus volume and visual complexity are excluded.
PRACTICAL_VALUE,10,CAP-08,Network Orientation CLI and briefs,3,2,2,3,2,3,3,3:2:2:2:2:3:2,42,48,P2 — VALIDATE_WITH_USER,Scores are evidence-based; corpus volume and visual complexity are excluded.
PRACTICAL_VALUE,11,CAP-03,Residual and ReturnTest recording,3,3,2,3,2,2,3,3:2:2:2:2:3:2,41,48,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
PRACTICAL_VALUE,12,CAP-10,ORION certified structural processing,3,3,2,3,2,2,3,3:2:2:2:2:3:2,41,48,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
PRACTICAL_VALUE,13,CAP-07,NEXAH Kernel and source adapters,3,2,2,3,2,2,3,3:2:2:2:2:3:2,39,48,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
PRACTICAL_VALUE,14,CAP-06,Orientation Language Specification 1.0,2,3,1,3,3,2,3,3:2:2:2:2:3:2,38,48,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
PRACTICAL_VALUE,15,CAP-15,THE EYE sealed result projection,2,3,3,3,1,2,3,3:2:2:2:2:3:2,38,48,P3 — INTEGRATE_LATER,Scores are evidence-based; corpus volume and visual complexity are excluded.
PRACTICAL_VALUE,16,CAP-01,Multi-view intake and frame declaration,3,3,1,2,2,2,3,3:2:2:2:2:3:2,37,48,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
PRACTICAL_VALUE,17,CAP-18,Interactive HTML orientation instruments,2,2,2,2,2,3,2,3:2:2:2:2:3:2,35,48,P5 — CURATE_FOR_ARENA_OR_ATLAS,Scores are evidence-based; corpus volume and visual complexity are excluded.
PRACTICAL_VALUE,18,CAP-16,NRRC candidate contract validation,2,3,2,3,1,1,3,3:2:2:2:2:3:2,33,48,P3 — INTEGRATE_LATER,Scores are evidence-based; corpus volume and visual complexity are excluded.
PRACTICAL_VALUE,19,CAP-19,Rödelheim and visual/operator research cartography,2,2,1,2,2,3,2,3:2:2:2:2:3:2,33,48,P5 — CURATE_FOR_ARENA_OR_ATLAS,Scores are evidence-based; corpus volume and visual complexity are excluded.
PRACTICAL_VALUE,20,CAP-23,Reproducible GLB visualization builders,2,2,2,2,2,2,2,3:2:2:2:2:3:2,32,48,P3 — INTEGRATE_LATER,Scores are evidence-based; corpus volume and visual complexity are excluded.
PRACTICAL_VALUE,21,CAP-09,IEEE Geometry benchmark orientation,2,2,2,3,1,1,2,3:2:2:2:2:3:2,29,48,P4 — HOLD_AS_RESEARCH,Scores are evidence-based; corpus volume and visual complexity are excluded.
PRACTICAL_VALUE,22,CAP-11,ORION Runtime and Gateway boundary,2,2,2,2,1,1,2,3:2:2:2:2:3:2,27,48,P3 — INTEGRATE_LATER,Scores are evidence-based; corpus volume and visual complexity are excluded.
PRACTICAL_VALUE,23,CAP-20,Builder Lab prototype and demo infrastructure,1,1,2,2,1,2,1,3:2:2:2:2:3:2,23,48,P4 — HOLD_AS_RESEARCH,Scores are evidence-based; corpus volume and visual complexity are excluded.
SOFTWARE_READINESS,1,CAP-12,NEXAHEDRON bounded Human Workspace,3,3,3,3,3,3,3,2:2:3:3:2:1:2,45,45,P2 — VALIDATE_WITH_USER,Scores are evidence-based; corpus volume and visual complexity are excluded.
SOFTWARE_READINESS,2,CAP-04,"Provenance, manifest and release-pin verification",3,3,3,3,3,2,3,2:2:3:3:2:1:2,44,45,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
SOFTWARE_READINESS,3,CAP-17,Science Lab execution and closure governance,3,3,3,3,3,2,3,2:2:3:3:2:1:2,44,45,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
SOFTWARE_READINESS,4,CAP-13,Curated reference cases,3,2,3,3,3,3,3,2:2:3:3:2:1:2,43,45,P2 — VALIDATE_WITH_USER,Scores are evidence-based; corpus volume and visual complexity are excluded.
