artifact,package,type,sha256,encoded_object,execution_or_structure,external_dependency,builder_source,authority_status,recommended_use,proposed_home
NEXAH_GEODESIC_WEATHER_INSTRUMENT.html,NEXAH_DUAL_VIEW_ROSETTA_INTAKE_2026-09-05,HTML,48e49cc9e1d82a4c3f033ef12744ddf925dd3db89ed186af566485c40a0fcbd6,geodesic weather observer instrument,interactive local wrapper,D3/CDN and remote fonts,ABSENT,demonstrator only,preserve Module-I baseline,Science Lab artifact collection
NEXAH_THREE_WEBFIELDS.html,NEXAH_DUAL_VIEW_ROSETTA_INTAKE_2026-09-05,HTML,92de99b925a4f4da61d66befa1e845a50dd3ea01e3e24aff3d122d018962a092,three web-field explanatory view,local browser view,none observed in role audit,ABSENT,explanatory demonstrator,preserve companion explanation,Science Lab artifact collection
NEXAH_GEODESIC_WEATHER_INSTRUMENT(1).html,NEXAH_DUAL_VIEW_ROSETTA_INTAKE_2026-09-05,HTML,b80cff33450335da44bdd8d0c1ac95214736e67ba31fc93a088c77759e1ea4d7,four-frame geodesic and persistent-address bridge,interactive local wrapper,D3/CDN and remote fonts,ABSENT,canonicalization candidate,curate as preferred geodesic bridge after owner review,Science Lab source plus NEXAHEDRON copy
NEXAH_MAP_GRID_PERSISTENT_ADDRESS.html,NEXAH_DUAL_VIEW_ROSETTA_INTAKE_2026-09-05,HTML,68d467f599457b340877d99754e54c668f40e11c04abdd94e2cce1abfe0c7a2e,persistent-address map/grid plate,static self-contained HTML,none,ABSENT,conceptual demonstrator,curate with explicit declared-data label,Science Lab source plus NEXAHEDRON copy
NEXAH_QRT_CODE_MECHANISM.html,NEXAH_DUAL_VIEW_ROSETTA_INTAKE_2026-09-05,HTML,c50811c68c50efb9eaf406751d14eaafc01cbf12b2b760943e91230aa10fc88c,QRT carrier/query/transform/return mechanism,interactive local wrapper,remote fonts and wrapper resources,ABSENT,method demonstrator,curate with gate pointers and nonclaim,Science Lab source plus NEXAHEDRON copy
NEXAH_SORT_LAB_BUBBLE_VS_PANCAKE.html,NEXAH_DUAL_VIEW_ROSETTA_INTAKE_2026-09-05,HTML,30c3bd0eaa402178f854b45620f24fb92f395fb4d123d7fdf6b02877d946f846,bubble-versus-pancake sort view,interactive local wrapper,remote fonts and wrapper resources,ABSENT,retained variant,preserve; do not select winner yet,Science Lab artifact collection
NEXAH_SORT_LAB_BUBBLE_VS_PANCAKE-2.html,NEXAH_DUAL_VIEW_ROSETTA_INTAKE_2026-09-05,HTML,2f1be939a4b9793d2843b7b138ee653a878d399ac5b7f64ea12b2db79bfb8ba4,bubble-versus-pancake plus ILAU controls,interactive local wrapper,remote fonts and wrapper resources,ABSENT,canonicalization candidate,preserve richer variant; owner review required,Science Lab source plus possible NEXAHEDRON copy
NEXAH_TQR_QRT_HRT_GRID_TRANSIT_MAP.html,NEXAH_DUAL_VIEW_ROSETTA_INTAKE_2026-09-05,HTML,39a39d71b95ac66987e46b4e2a01440118f6b7a573b3b823f27d369f9109f13c,TQR/QRT/HRT transit map,interactive local wrapper,remote fonts and wrapper resources,ABSENT,spatial grammar demonstrator,curate as map view with declared semantics,Science Lab source plus NEXAHEDRON copy
NEXAH_TQR_QRT_HRT_PANCAKE_GRID.html,NEXAH_DUAL_VIEW_ROSETTA_INTAKE_2026-09-05,HTML,33a760878754ab6253bc41ace9acc90456cf8ea30cfb396a16b3a8e8b598eb65,TQR/QRT/HRT pancake grid,interactive local wrapper,remote fonts and wrapper resources,ABSENT,spatial grammar demonstrator,curate as grid view with declared semantics,Science Lab source plus NEXAHEDRON copy
Q_ROSETTA_THREE_MATRICES_LQ.html,NEXAH_DUAL_VIEW_ROSETTA_INTAKE_2026-09-05,HTML,201d79dc81a7bbf55be2f8db354b3a47e26411576641ae1ffda2fca053b3143b,three-matrix Rosetta view,interactive local wrapper,remote fonts and wrapper resources,ABSENT,retained variant,preserve; do not select winner yet,Science Lab artifact collection
