case,primary_return_type,state_space,operator,invariant,changed_property,inverse_or_reconstruction,domain,base_width_dependence,implementation_status,evidential_ceiling
Julia critical orbit c=-0.75+0.10i,NO_RETURN_DEMONSTRATED,complex plane / R2,z_(n+1)=z_n^2+c,declared c and iteration rule,state and escape magnitude,deterministic replay from z0=0; not inverse,finite escape horizon,none beyond complex/R2 encoding,IMPLEMENTED,escapes at iteration 33; no exact/near return
Julia conjugate mirror,CONJUGATE_SYMMETRY,paired complex grid,complex conjugation plus vertical reflection,integer escape count,imaginary orientation,conjugation is self-inverse,declared 90601-cell grid,grid/reflection convention,IMPLEMENTED,0 mismatches; no physical mirror
modular shadow involution,ALGEBRAIC_INVOLUTION,Z/NZ,S_N(x)=-x mod N,residue class/domain,orientation representative,apply S_N again,declared positive N,not decimal dependent,IMPLEMENTED,standard involution only
CRT reconstruction,CRT_RECONSTRUCTION,Z/31000Z and coprime component registers,residue projection and CRT inverse,represented residue class,coordinate/register representation,explicit CRT reconstruction,pairwise-coprime moduli,"register dependent, not decimal width",IMPLEMENTED,"31000 residues, zero failures"
1729 to 9271,DECIMAL_REVERSAL,canonical base-10 strings,R_10,digit multiset and length,digit order and integer,R_10,four-digit canonical strings,base-10 dependent,IMPLEMENTED,pair-specific; not universal law
Mobius classes of 1729/9271,CLASS_TRANSITION,integers with factorization,Mobius classification after selected reversal,exact integer/factorization,mu changes -1 to +1,refactor reconstructed integer,selected pair,reversal base-dependent; mu not,IMPLEMENTED,pair-specific transition only
7801/1087 family,DECIMAL_REVERSAL,four-character decimal words,R_4 and T_8888,sum 8888 within solution family,word orientation,both operators involutive on pair,D4,base10 width4,IMPLEMENTED,one of 40 nonfixed orbits
nat to bit to byte,NO_RETURN_DEMONSTRATED,INPUT_NOT_AVAILABLE,INPUT_NOT_AVAILABLE,INPUT_NOT_AVAILABLE,INPUT_NOT_AVAILABLE,INPUT_NOT_AVAILABLE,authoritative inputs only,unit convention required,MISSING,not demonstrated in authorized finals
long/short/Chinese grouping,NO_RETURN_DEMONSTRATED,INPUT_NOT_AVAILABLE,INPUT_NOT_AVAILABLE,INPUT_NOT_AVAILABLE,INPUT_NOT_AVAILABLE,INPUT_NOT_AVAILABLE,authoritative inputs only,locale/grouping dependent,MISSING,not demonstrated in authorized finals
NUL/Backspace/Form Feed/zero/empty,CONTROL_STATE_TRANSITION,ECMAScript strings and terminal semantics,typed literal interpretation,byte/codepoint identity,cursor/page effect for BS/FF only,source spelling plus serialization,declared Node runtime,encoding/runtime dependent,IMPLEMENTED,typing semantics; not a return law
Observer Return grammar,OBSERVER_RETURN_GRAMMAR,documentary typed records,observe-represent-compare-return,record lineage,representation/review state,documented return record,declared grammar,representation dependent,DOCUMENTARY_ONLY,formal contract; not executable
