source_id,artifact,kind,sha256,repository_state,grammar_role,authority,mission_control_decision
GG-001,01_euler_mod40_and_crt_family.py,python,90046d6cc14dc27d876bda3131b6a0ddfa904804c6f8417a8956fbf671166167,downloads_only,arithmetic_and_crt_audit,CANDIDATE,repair_before_intake
GG-002,02_prime_gap_and_fibonacci_audit.py,python,3ecbcf702213c2b06bb917dfb1fc0024f5a6ac287dc5ad9281bd55115429810c,downloads_only,gap_and_index_audit,CANDIDATE,repair_before_intake
GG-003,03_moebius_sweep_and_coords.py,python,984bb14fe384400a711387ba00be71a36f97adf37dd4d9c5ba0eb7cacf0e896d,downloads_only,parameterized_embedding_audit,CANDIDATE,repair_before_intake
GG-004,04_riemann_stability_audit.py,python,0b35a85da5a0b61836c279d9fcbc5c032b4b7a233204f0ea607ed4c4c41ac66c,downloads_only,residual_stability_audit,CANDIDATE,repair_before_intake
GG-005,05_selection_audit_42.py,python,55479512ff50200ab77db285310d5ddc11ae1d14f9cbd5cc207bb191a0357aea,downloads_only,selection_sensitivity_audit,CANDIDATE,repair_before_intake
GG-006,06_claim_ledger_and_matrix_generation.py,python,39b374c41aa0a06c4ffae6ed338dd43c178e9d25b4451576320da37cc203f5f7,downloads_only,claim_and_ilau_ledger,CANDIDATE,repair_before_intake
GG-007,07_generate_comparison_plate.py,python,47f44cf131ee2b050f5dc4c02a9f3533d6eb9034155ba55953d3d4601b73e9ed,downloads_only,separate_four_panel_generator,CANDIDATE,rename_and_rebind
GG-008,run_complete_prime_sector_audit.py,python,4c0a980fd528e2c8640a6cf274ba1fcba9e793c4085d05ec769ba1f490a30220,downloads_only,prime_sector_audit,CANDIDATE,repair_before_replay
GG-009,thomas-prime-findings-report.pdf,pdf,f74f7aef6eeeb260808dfdb7d3478459c3d9c5dd1d57152aca2f218a287af4bd,exact_duplicate_in_00_incoming,historical_synthesis,NONCONTROLLING,no_duplicate_intake
GG-010,NEXAH_TQR_QRT_HRT_PANCAKE_GRID.html,html,dc187f3a8d0e8333db814addcff9dea7e40115f7cdd82564d78b6f3da1504339,later_than_repository_copy,tqr_qrt_hrt_visual_grammar,DOCUMENTARY,versioned_revision_intake_candidate
GG-011,NEXAH_TQR_QRT_HRT_GRID_TRANSIT_MAP.html,html,39a39beb32445d6cf3f8cf1a93676d0ebfd37bd55ba9246d8b453efbadf05f05,exact_duplicate_in_00_incoming,route_and_hinge_visual_grammar,DOCUMENTARY,no_duplicate_intake
GG-012,ILAU_Cartography_Extension_Dark_Plate.html,html,01ac4d8e043478434954f58bedd7775bd6eaa01f850fd3b40eebd96959134a1d,downloads_only,semantic_vs_visual_accounting,DOCUMENTARY,selective_intake_recommended
GG-013,SEAM_Rope_Machine_Dark_Plate.html,html,76c3523599a25976eed520f7eb2ccf2c950ae6fe2c5e47f57c4098eec47a49a0,downloads_only,seam_and_rope_state,DOCUMENTARY,selective_intake_recommended
GG-014,BPS-MS_Cover_Cut_Kernel_Gap.html,html,5002ae936f29c06bf4cf832a152b892765cbfaf4511155d1c11a90a7b4b09cf8,downloads_only,cover_cut_kernel_gap_vocabulary,DOCUMENTARY,selective_intake_recommended
GG-015,prime-sector-comparison-plate.png,png,234a7aac7919ee9612424c669f07b605688176d5a2c62bd992feb27e0ddf3268,downloads_only,prime_grid_reference_visual,UNBOUND_VISUAL,hold_until_generator_resolved
GG-016,GRID_CLOSURE_ROTATION_SCALE_SHEAR.png,png,6c387f85a81d867beb6b09793bba8d86daf5ae92318f12165ae547764540176b,downloads_only,closure_operator_reference_visual,UNBOUND_VISUAL,selective_intake_with_unresolved_generator
GG-017,NEXAH_3_PLUS_1_DUAL_BELT.html,html,18270c0ba0b7a9a8f9cfc5d7cfa928abe5c1afa36cf18ac5ae401049eceda069,repository_export,three_plus_one_dual_belt_instrument,EXECUTABLE_VISUAL_FIXTURE,registered_local_demonstrator
GG-018,NEXAH_3_PLUS_1_DUAL_BELT_RECORD.json,json,8375663d65c9a314776a0f08c5cde1fe29e9b17a737bcc5beb4d21d6a7c287ba,repository_export,three_plus_one_machine_record,DOCUMENTARY,registered_machine_record
GG-019,MIWA_PINEAP_AN_DROMEDA.html,html,d155842726477991802f8ed6c22e6d51dfa016b644ec5b5c15b60478c41e777b,repository_export,observatory_frame_navigator,EXECUTABLE_VISUAL_FIXTURE,registered_local_demonstrator
GG-020,MIWA_PINEAP_AN_DROMEDA_RECORD.json,json,ac569f3a431ae4d698ba052aa06f3d8eaea26a9f51c042b4e68c2e63c802d58b,repository_export,observatory_machine_record,DOCUMENTARY,registered_machine_record
GG-021,MIWA_PINEAP_STAR_MAP_TEMPLATE.csv,csv,71bfe9779090d67113dd5e86c7e06147b47e48834abc12e8ebffe6b7f279418f,repository_export,star_map_schema_and_demo_rows,DEMONSTRATION_DATA,registered_nonmeasurement_template
GG-022,MIWA_PINEAP_AN_DROMEDA_DOWNLOAD.zip,zip,56c98255feb282185bfb56c733184cded7f80a195098a9fa76f25948ca78a6c4,repository_export,observatory_download_bundle,PACKAGE,registered_local_package
