component,ecosystem_location,source_authority,formal_status,implementation_status,current_role,relation_to_candidate,missing_dependency,evidence_class,claim_ceiling,recommended_action
OLS semantic operators,MISSION_01_SCIENTIFIC_BACKBONE/01_CANONICAL_OPERATOR_INVENTORY.md,local_canonical_semantic_spec,formal,semantic_specification,"observe represent compare orient select validate record",audit_and_selection_envelope,typed_trajectory_and_return_contract,A_EXISTING_FORMAL_COMPONENT,semantics_not_empirical_proof,bind_by_reference
Human Authority,GOVERNANCE/01_HUMAN_AUTHORITY_PROTOCOL.md,local_governance_protocol,formal,protocol_only,"intention tolerances decision STOP",preserves_human_selection,runtime_binding_if_future,A_EXISTING_FORMAL_COMPONENT,governance_not_optimization,retain_unchanged
Layered Possibility Space RUN04,SCIENCE_LAB/CASE_STUDIES/T_RAN_S_FORMATION/Operator Test Results/NEXAH_LAYERED_POSSIBILITY_SPACE_RUN04_PACKAGE,closed_science_lab_result,formal_neutral_model,implemented_and_tested_toy_model,"carrier constraints projections reconstruction",basket_and_projection_precursor,trajectory_dynamics_and_task_return,B_EXISTING_IMPLEMENTED_COMPONENT,neutral_model_only_reference_closed,reference_without_reopening
Observer Possibility Space RUN02,SCIENCE_LAB/CASE_STUDIES/T_RAN_S_FORMATION/Operator Test Results/NEXAH_OBSERVER_POSSIBILITY_SPACE_TEST_RUN,closed_science_lab_result,formal_identifiability_model,implemented_and_tested_toy_model,"fiber intersection ambiguity inconsistency",observer_and_possible_state_precursor,trajectory_level_return_binding,B_EXISTING_IMPLEMENTED_COMPONENT,no_universal_sensor_gain,reference_without_extension
Sparse Trace Path Equivalence,ORION_SPARSE_TRACE_PATH_EQUIVALENCE_THEORY,closed_formal_theory,formal,documentation_and_proofs,"path observation fibers and information loss",path_class_and_nonuniqueness,task_return_partition,A_EXISTING_FORMAL_COMPONENT,generic_equivalence_no_O8_advantage,bind_ambiguity_schema_only
Trajectory Density Audit,SCIENCE_LAB/CASE_STUDIES/GRC01_GRADIENT_REPRESENTATION_COHERENCE_RECONCILIATION_AUDIT/04_TRAJECTORY_AND_DENSITY_AUDIT.md,closed_audit,formal_boundary,documentation,"trajectory differs from density; density differs from stability",density_claim_ceiling,samples_measure_estimator,A_EXISTING_FORMAL_COMPONENT,no_density_without_protocol,adopt_boundary_only
Pareto Analysis,NEXAH_TRANSLATION_FIDELITY_SYNTHESIS/03_ROBUSTNESS_DISCRIMINATION_PARETO.md,closed_domain_specific_result,formal_multiobjective_analysis,implemented_for_other_data,"nondominated tradeoff reporting",pareto_orientation_precursor,new_objectives_and_data,B_EXISTING_IMPLEMENTED_COMPONENT,no_numeric_transfer_or_universal_optimum,reuse_method_only
Field Form Observer Return,FIELD_FORM_OBSERVER_RETURN_BINDER_AUDIT_2026-08-24,closed_bounded_crosswalk,formal_record_grammar,documentation,"observer frame ILAU return STOP",projection_and_return_envelope,trajectory_specific_comparator,A_EXISTING_FORMAL_COMPONENT,no_universal_observer_or_return_law,bind_by_reference
NRDL Residual Return,NEXAH_RELATIONAL_DESCRIPTION_LANGUAGE_CANDIDATE_2026-09-04,local_candidate_spec,formal_record_grammar,not_implemented,"trace residual return claim ceiling",residual_lineage,task_metric_and_tolerance,A_EXISTING_FORMAL_COMPONENT,no_causal_promotion,bind_as_documentation
Representation Ledger V3,NEXAH_REPRESENTATION_LEDGER_V3_FINAL_INDEPENDENT_REVIEW,closed_independent_review,formal_provenance_schema,schema_and_samples,"scoped provenance",optional_source_and_claim_record,stable_cross_revision_identity,A_EXISTING_FORMAL_COMPONENT,structured_provenance_not_truth_or_validator,optional_only
Rödelheim Observatory,NEXAH_TRANSLATION_AUDIT_REPORT_01/FROZEN_CHAIN/01_ROEDELHEIM_SOURCE,hash_frozen_local_source,formal_synthetic_projection,implemented_machine_tests_reported,"multiple projections of common records",view_nonidentity,body_state_time_frame_binding,B_EXISTING_IMPLEMENTED_COMPONENT,projection_not_mechanism,reference_boundary
THE EYE,NRDL_IFR01_and_NRDL_TAR01_reviews,reviewed_current_interface_plus_noncanonical_candidate,partial_formal_projection,closed_demos_only,"visual presentation and candidate observer fields",optional_visualization,authorized_scientific_contract,C_DOCUMENTARY_OR_VISUAL_PRECURSOR,display_not_measurement,leave_optional
NEXAHEDRON,REPOSITORY_ORIENTATION_PILOT_A1_A2/06_NEXAHEDRON_BASELINE.md,local_live_component,scoped_interface,implemented_existing_scope,"human facing presentation and transient state",optional_corridor_tradeoff_view,authorized_view_contract,B_EXISTING_IMPLEMENTED_COMPONENT,no_intention_or_optimum_authority,no_change
Kaskadenz Predecessors,two_closed_2026-09-09_review_directories,hash_bound_closed_reviews,formal_specifications,not_implemented,"mechanical path and neuromechanical wrapper",trajectory_family_membership,feasible_family_model,A_EXISTING_FORMAL_COMPONENT,no_decision_extension,reference_only
Cat in the Basket Visual,PRESERVED_SOURCE/CAT IN THE BASKET.png,user_supplied_hash_bound_source,not_formal,not_applicable,"explanatory mnemonic",candidate_expression,formal_definitions_and_data,C_DOCUMENTARY_OR_VISUAL_PRECURSOR,not_measurement_evidence_or_proof,preserve_unchanged
Golden Body and glyph association,unbound_poetic_or_visual_material,non_normative,not_formal,not_applicable,mnemonic_only,excluded_association,none,D_ASSOCIATIVE_MNEMONIC_ONLY,no_ratio_biology_physics_or_optimality_claim,exclude_from_evidence
