capability_id,name,primary_maturity,maturity_label,implementation_evidence,test_evidence,integration_evidence,public_evidence,why_not_higher
CAP-01,"Multi-view intake and frame declaration",M1,DOCUMENTED_METHOD,"Documented across OLS, NRDL, intake packages and Workspace fields","Bounded examples and UI validations","No common cross-system intake","Public Workspace accepts Human text","No generic executable multi-format intake or common contract"
CAP-02,"ILAU sealed representation comparison",M5,INTEGRATED_INTERNAL_CAPABILITY,"A2 comparator plus A3/A4 records and A5/A6 projection","Parity, negative controls and six sealed demonstrations","Integrated with THE EYE internal result view","Public /the-eye absent","Closed profile and no public discoverable operation"
CAP-03,"Residual and ReturnTest recording",M4,TESTED_STANDALONE_COMPONENT,"Executable in A2, NRRC validator and closed case-specific tools","Return consistency and negative controls","Profile-specific rather than one production path","No general public tool","Metric/tolerance remain case-specific"
CAP-04,"Provenance, manifest and release-pin verification",M5,INTEGRATED_INTERNAL_CAPABILITY,"Hash/manifests and pin checks used across repositories","Repeated verification and fail-closed mismatch evidence","Integrated into release, Lab and dependency workflows","Documents and source are public but no unified feature","No single external user operation or cross-system view"
CAP-05,"Claim Ceiling and Human Authority gates",M5,INTEGRATED_INTERNAL_CAPABILITY,"Governance records plus public confirmation/Rest UI","Decision, STOP and interface tests recorded","Cross-system control is active","Human authority visible publicly","Not externally validated as an outcome-improving feature"
CAP-06,"Orientation Language Specification 1.0",M1,DOCUMENTED_METHOD,"Immutable published normative suite","Release/conformance checks","Used semantically across systems","Public repository/specification","Specification is not executable implementation"
CAP-07,"NEXAH Kernel and source adapters",M4,TESTED_STANDALONE_COMPONENT,"Installable Python 0.7 package and typed adapters","Contract, adapter and application tests","Integrated with NEXAH reference applications","Public source/CLI","No hosted feature, unified runtime or broad validation"
CAP-08,"Network Orientation CLI and briefs",M4,TESTED_STANDALONE_COMPONENT,"Maintained CLI/application path","Byte replay and focused tests","Integrated with Kernel","Public source but no hosted entry","No external utility evidence or public nontechnical operation"
CAP-09,"IEEE Geometry benchmark orientation",M4,TESTED_STANDALONE_COMPONENT,"Implemented benchmark frames, probes and briefs","Frozen deterministic validation with retained miss","Integrated with Kernel research path","Public source for technical users","Research-only benchmark evidence and narrow domain scope"
CAP-10,"ORION certified structural processing",M4,TESTED_STANDALONE_COMPONENT,"Certified V1 processors and immutable artifacts","Slice II-IV certification proofs and suites","Downstream consumers exist but are separately governed","Public source repository","No hosted processor or general target generation"
CAP-11,"ORION Runtime and Gateway boundary",M4,TESTED_STANDALONE_COMPONENT,"Historical/separately governed runtime/gateway code","Historical and real gateway integration tests","Partial consumer integration","No reliable current public machine service","Outside certified Core with evidence/clarification/operations gaps"
CAP-12,"NEXAHEDRON bounded Human Workspace",M6,PUBLICLY_USABLE_FEATURE,"Deployed Phase II guided Workspace","Version 1 local journey and application tests recorded","Integrated public interface","Current public root/orient/wonder routes reachable","No external evaluation; memory-only and machine comparison incomplete"
CAP-13,"Curated reference cases",M6,PUBLICLY_USABLE_FEATURE,"Five public case routes and library","Route/content tests recorded","Integrated with NEXAHEDRON navigation","Current library/case routes reachable","No external comprehension or usefulness evidence"
CAP-14,"NEXAH public Library and Living Atlas",M6,PUBLICLY_USABLE_FEATURE,"Deployed catalog, Reading Spaces and curated relation pages","Build/source records and public route evidence","Integrated public editorial surface","nexah.de Library/Atlas reachable","Editorial capability only; no external validation"
CAP-15,"THE EYE sealed result projection",M5,INTEGRATED_INTERNAL_CAPABILITY,"A5/A6 view and curated package","Isolation, parity, privacy and negative controls recorded","Integrated in NEXAHEDRON source/private modes","Public route returns 404","Not current public feature; only six fixed demonstrations"
CAP-16,"NRRC candidate contract validation",M4,TESTED_STANDALONE_COMPONENT,"Schema, strict Python validator and fixtures","10 tests passed; 15 negative fixtures rejected","Local staging only","No public tool or release","Canonical home, acknowledgements and production gates unresolved"
CAP-17,"Science Lab execution and closure governance",M5,INTEGRATED_INTERNAL_CAPABILITY,"Repeated authorized package workflow","Controls, replay, independent reviews and manifests","Integrated with Mission Control and Lab custody","Public summaries partial","External usability and compact entry are weak"
CAP-18,"Interactive HTML orientation instruments",M3,INTERACTIVE_DEMONSTRATOR,"Interactive SVG/JS instruments across families","Selected family open/render validations","Mostly disconnected local files","Limited public navigation","Heterogeneous dependencies, no common input/output or user validation"
CAP-19,"Rödelheim and visual/operator research cartography",M2,STATIC_VISUAL_EXPLAINER,"Indexed plates and visual genealogies","Some calculated sidecars; most are explanatory","Curated families, not one executable tool","Selected Atlas material public","Static/interpretive majority; visuals are not evidence"
CAP-20,"Builder Lab prototype and demo infrastructure",M3,INTERACTIVE_DEMONSTRATOR,"Minimal demos and many experimental scripts","One demo/CLI historically verified; suite/path failures","Archive-heavy and disconnected","Not public","No maintained coherent package or reproducible whole-suite entry"
CAP-21,"Archive, custody and genealogy management",M5,INTEGRATED_INTERNAL_CAPABILITY,"Desk and Lab intake/custody workflows","Repeated freeze/hash/custody checks","Integrated internal manual process","Public summaries partial","No single searchable external interface"
CAP-22,"Orientation Translation and evidence synthesis",M5,INTEGRATED_INTERNAL_CAPABILITY,"Three complete source-bound sequences and synthesis packages","Internal audit and replication evidence","Integrated research workflow","Some documents public; no dedicated product route","External reader-effect/domain evidence absent"
CAP-23,"Reproducible GLB visualization builders",M4,TESTED_STANDALONE_COMPONENT,"Versioned Node builders and generated GLBs","Recorded deterministic parity and verification","Disconnected incoming package","Not public","No registered home, product entry or external use"

