family_id,assessment,distinctive_element,why_someone_should_review,evidence_level,main_limit,recommended_reviewer,public_safe_wording
AF-01,NOVELTY_CANDIDATE_NEEDS_EXPERT_REVIEW,Protocolized comparison of robustness discrimination loss and decoder dependence with preserved negative controls,Strongest near-publication NEXAH research package,Three frozen synthetic studies,Study-2 replay divergence and no external application,Information theory or representation-learning researcher,A bounded synthetic study of representation fidelity with qualified and negative results
AF-02,USEFUL_TRANSLATION,Finite recovery framed through declared observation and equivalence boundaries,Useful for testing what a limited record can and cannot identify,Finite synthetic results only,General identifiability is unresolved,Inverse-problems or system-identification researcher,A bounded source-recovery and identifiability study
AF-03,DISTINCTIVE_NEXAH_PERSPECTIVE,Relation language keeps identity evidence authority and uncertainty separate,Could connect NEXAH to formal semantics provenance and knowledge representation,OLS released plus experimental profiles,Novelty against existing standards not demonstrated,Formal methods PROV or knowledge-representation researcher,A relational orientation language and a set of bounded profiles
AF-04,DISTINCTIVE_NEXAH_PERSPECTIVE,Return and residual are treated as explicit record operations rather than rhetorical closure,Relevant to reproducible comparison and audit-oriented software,Local executable contracts and fixtures,No shared production contract or integrated engine,Data-provenance or reproducible-systems engineer,Local record and return contracts with deterministic fixtures
AF-05,USEFUL_TRANSLATION,Observer frame aperture and cut are kept explicit across visual comparisons,Useful bridge among geometry visualization and scientific observation,Conceptual synthesis plus bounded demonstrations,No new geometry and no general observer theorem,Visual analytics or geometry researcher,Observer-relative frame and cut demonstrations
AF-06,NEGATIVE_OR_LIMIT,The corrected baseline prevents a claimed multiband benefit from being overstated,Valuable as a transparent negative result and visibility benchmark,Deterministic raster fixture,External and production validity absent,Computer-vision or cartography researcher,A bounded visibility study in which multiband benefit was not established
AF-07,KNOWN_OR_REPRODUCTION,Exact arithmetic is used as a conformance and persistent-address fixture,Useful controls for frame and format changes,Exact bounded synthetic fixtures,No new number theory,Number theorist or discrete-mathematics educator,Standard exact mathematics used in declared conformance fixtures
AF-08,NEGATIVE_OR_LIMIT,Trajectory-return questions are preserved together with failed hidden-switch detection,Useful negative control for claims about reconstruction from dynamical traces,Mixed bounded synthetic studies,Broad dynamics claims unsupported,Dynamical-systems or time-series researcher,Bounded nonlinear-dynamics studies with mixed and negative outcomes
AF-09,USEFUL_TRANSLATION,Projection sampling resolution and shadow are compared as operator-dependent records,Could support understandable sensor and grid tests,Bounded method fixtures,No universal field reconstruction result,Signal-processing or imaging researcher,Operator-bound demonstrations of sampling projection and multiresolution change
AF-10,NEGATIVE_OR_LIMIT,Exact reversible algebra is separated from measured usefulness,Important example of a valid component that did not beat a strong generic comparator,Validated local component plus negative benchmark,Partial and lossy observation remain untested,Applied algebra or metrology researcher,A reversible algebraic component whose incremental utility was not established
AF-11,NOVELTY_CANDIDATE_NEEDS_EXPERT_REVIEW,Power-network geometry is treated as an inspectable orientation problem,Most concrete domain demonstrator for external replay and usefulness testing,Deterministic internal IEEE-9 and IEEE-14 reports,External clean replay and domain validation unresolved,Power-systems or network-visualization researcher,An internally reproducible network-orientation demonstrator awaiting domain review
AF-12,USEFUL_TRANSLATION,One bounded orientation method is repeated across unlike educational source materials,Could be useful for teaching navigation and comparison rather than domain discovery,Three biology pilots plus documentary families,No domain discovery authority,Science educator or relevant domain teacher,Source-bounded orientation pilots across several subjects
AF-13,NOVELTY_CANDIDATE_NEEDS_EXPERT_REVIEW,The I-IT boundary returns meaning uncertainty and decision authority to the situated human,Potential contribution to human-centered AI and inspectable orientation,Internal interfaces and conceptual framework only,External comprehension and decision utility untested,HCI responsible-AI or visual-analytics researcher,A human-centered orientation framework awaiting reader-utility testing
AF-14,USEFUL_TRANSLATION,Interactive public entry objects turn abstract framework relations into inspectable experiences,Could be assessed for comprehension engagement and cultural value,Executable editorial candidates,No product or scientific validation,Interaction designer curator or science-communication researcher,Curated interactive orientation experiences
AF-15,EXPRESSION_OR_ANALOGY_ONLY,A coherent authored visual and symbolic language spans glyph number sound and relation,Potential cultural and communication value,Large curated documentary corpus,No predictive grammar or scientific authority,Designer artist semiotician or media scholar,An authored visual symbolic and sonic corpus
AF-16,USEFUL_TRANSLATION,Atlas and book forms hold plural perspectives without forcing one total account,Relevant to knowledge organization curation and public understanding,Published and proposed Works,Editorial authority is separate from scientific authority,Editor curator information architect or educator,A curated family of atlases books and orientation works
AF-17,DISTINCTIVE_NEXAH_PERSPECTIVE,Negative results STOP records source hashes and independent reviews are retained as first-class outputs,Strongest evidence that NEXAH practices explicit claim limitation and provenance,Strong process evidence across multiple packages,Does not demonstrate efficacy or scientific novelty by itself,Meta-research reproducibility or open-science researcher,A transparent research-practice package emphasizing provenance limits and negative results
AF-18,DISTINCTIVE_NEXAH_PERSPECTIVE,A recurring transformation spine connects construction grid carrier projection trace residual and return across heterogeneous artifacts,Potentially original as a longitudinal cartographic synthesis,Mixed exact bounded experimental documentary and expressive evidence,No universal decoder common dynamics new number theory or physics,Cross-disciplinary visualization historian of mathematics or digital-humanities researcher,A mixed-authority atlas of number geometry projection and return with item-level claim boundaries
