package_name,current_files,current_bytes,desk_route,pipeline_state,currentness_verification,source_mutation_authority
ACR 27-45+ Testing,70,43063436,DESK10_MULTI_INTAKE_2026-09-02,HOLD_PENDING_REPAIR,BYTE_IDENTICAL_70_OF_70,NONE
CLOCKWORK ORANGE,150,55586347,DESK10_MULTI_INTAKE_2026-09-02,HOLD_PENDING_REPAIR,BYTE_IDENTICAL_150_OF_150,NONE
CRT 11357,31,42154095,DESK10_MULTI_INTAKE_2026-09-02,CLOSED_FORENSIC_SOURCE_CORPUS_LEAVE_IN_PLACE,BYTE_IDENTICAL_31_OF_31,NONE
CRT 11357 GEMINI,35,43645497,DESK10_MULTI_INTAKE_2026-09-02,SOURCE_CORPUS_LEAVE_IN_PLACE,BYTE_IDENTICAL_35_OF_35,NONE
DESK10_MULTI_INTAKE_ORIENTATION_AUDIT_2026-09-02,82,579374,SELF_DESCRIBED_DESK10_OUTPUT,PARTIAL_REORGANIZATION_READY_PHYSICAL_MOVE_GATED,PIPELINE_RESULT_NOT_RAW_SOURCE,NONE
G-R°T^ ROSETTA,20,7467957,D10-FW-001_WS05,CLOSED_NO_MANDATORY_FOLLOW_ON,BYTE_IDENTICAL_20_OF_20_TO_MODULE_II,NONE
GB_Shadow  Geometry LQE 01,43,48616979,POST_49_DESK10_AUDIT_CLUSTER,LOCAL_AUDITS_COMPLETE_MC_RETURN_PENDING,42_OF_42_CONTENT_FILES_EXPLICITLY_BOUND,NONE
MRB TESTSERIE,138,8813525,DESK10_MULTI_INTAKE_2026-09-02,HOLD_PENDING_REPAIR,BYTE_IDENTICAL_138_OF_138,NONE
OEIS LOGIK,79,35679211,ILAU_FIELD_LAB_NEON_NBAND_INTAKE_2026-09-04,DELTA_ORIENTATION_REQUIRED,78_UNCHANGED_2_MISSING_1_NEW,NONE
SCx33_BBi_aka_BOKI_review,164,79448736,DESK10_MULTI_INTAKE_2026-09-02,SOURCE_CORPUS_LEAVE_IN_PLACE,BYTE_IDENTICAL_164_OF_164,NONE
THe Prime Genesis,91,200978686,D10-FW-036_WS04,CLOSED_DOCUMENTED_DESKTOP_DELTA_NOT_IMPORTED,91_FILES_200978686_BYTES,NONE
TRAnsVerSUM GEO Weather VIEW,13,3545627,D10-FW-001_WS05,CLOSED_NO_MANDATORY_FOLLOW_ON,BYTE_IDENTICAL_13_OF_13_TO_MODULE_I,NONE
