LANGUAGE,WRITTEN_FORM,UNIT_TYPE,DOCUMENTED_PRONUNCIATION,PHONEMIC_VALUE_IF_APPROPRIATE,CONTEXT_DEPENDENT,EXAMPLE_WORD,SOURCE,NOTES
German,ei,grapheme sequence,[aɪ̯],/aɪ̯/,YES,weit,https://www.duden.de/hilfe/aussprache,"Word-bounded example; not a universal value outside German"
German,eu,grapheme sequence,[ɔʏ̯],/ɔʏ̯/,YES,Leute,https://shop.duden.de/media/05/35/e5/1746663329/Leseprobe_9783411056132_Schulduden_Grammatik.pdf?ts=1746663329,"eu and äu can represent the same pronunciation"
German,äu,grapheme sequence,[ɔʏ̯],/ɔʏ̯/,YES,läuten,https://shop.duden.de/media/05/35/e5/1746663329/Leseprobe_9783411056132_Schulduden_Grammatik.pdf?ts=1746663329,"Orthographic choice depends on lexical/morphological context"
French,oi,grapheme sequence,[wa],/wa/,YES,moi,https://www.larousse.fr/dictionnaires/college/moi/26497,"Documented word form; not m-o-i decoded by English or German rules"
French,ou,grapheme sequence,[u],/u/,YES,vous,https://dictionnaire.lerobert.com/definition/vous,"Bounded word example"
English,e,letter/grapheme,[iː],/iː/,YES,me,https://dictionary.cambridge.org/pronunciation/english/me,"Final written e participates in this word form"
English,e,letter/grapheme,[e],/e/,YES,bed,https://dictionary.cambridge.org/pronunciation/english/bed,"Same visible letter has a different documented value"
English,i,letter/grapheme,[ɪ],/ɪ/,YES,sit,https://dictionary.cambridge.org/pronunciation/english/sit,"Context-specific word value"
English,i,letter/grapheme,[aɪ],/aɪ/,YES,site,https://dictionary.cambridge.org/pronunciation/english/site,"Same visible letter differs under another spelling context"
English,y,letter/grapheme,[aɪ],/aɪ/,YES,my,https://dictionary.cambridge.org/pronunciation/english/my,"Y functions as a vowel letter in this example"
English,y,letter/grapheme,[i],/i/,YES,happy,https://dictionary.cambridge.org/pronunciation/english/happy,"Same visible letter differs by word/position/context"
